質問,"回答"
インターネットや回線の利用休止はできますか？,"利用休止はできない。期間を指定した一時停止も不可。"
短期間だけの利用はできますか？,"短期間の利用も可能。ただし契約は2年契約の自動更新。\n\n■解約金\n・更新月を含む2か月以外の解約は解約金が発生\n・定額制プラン：5,000円\n・電話のみプラン：2,200円\n\n工事費残債\n・工事費が分割中の場合、2年満了前の解約は残工事費を請求"
法人でも申込みはできますか？,"個人・法人ともに、すべてのプランで申込み可能。"
プロバイダー加入は必要ですか？,"インターネット利用の場合は必須。\nスリム光はプロバイダー料金込みのため、別途契約は不要。\n※電話のみプランには含まれない。"
転用番号はどのような方法で取得できますか？,"インターネットまたは電話で取得できる。東日本・西日本で窓口が異なる。\n\n■インターネット\n[・西日本 転用番号](https://flets-w.com/collabo/tenyou/entry/)\n[・東日本 転用番号](https://flets.com/app4/input/index/)\n\n■電話\n・西日本：0120-553-104（9:00〜17:00）\n・東日本：0120-140-202（9:00〜17:00）\n※土日祝対応可(年末年始除く)"
事業者変更番号とは何ですか？どうやって取得しますか？,"NTT光コラボ事業者から別の光コラボ事業者へ乗り換える際に必要な番号。\n\n■対象例\n・ドコモ光\n・ソフトバンク光\n・楽天ひかり\n・So-net光　など\n\n光コラボ事業者一覧：[事業者一覧サイト](https://flets.com/collabo/list/?utm_source=chatgpt.com)\n\n■取得方法\n・お客様からの電話受付後、当社で発行\n・発行後は郵送で送付\n・到着まで早くて翌日～翌々日\n\n■手数料\n・発行手数料：3,300円\n・当月利用料金と合算請求\n・有効期限：発行から2週間"
IPv6とは何ですか？,"IPv6とは、インターネットプロトコルの第6版で、IPv4に続く次世代の通信規格。\n\n■IPv6の特徴\n・IPアドレスが128ビットで、約340澗(かん)個のアドレスを利用可能\n・IPv4（約43憶個）に比べ、圧倒的に多くの端末を接続できる\n・IPoE方式を利用することで、回線混雑を避けやすい\n・IPv4に比べ、通信速度が向上する場合がある\n・IPSecが標準搭載されており、セキュリティが強化されている"
支払い方法を変更したいです。どんな種類がありますか？,"以下の4種類から選択可能。\n\n・請求書払い：手数料 275円\n→利用月の翌月中旬頃に郵送\n・口座振替：手数料 110円\n→利用月の翌月27日に引落\n・クレジットカード：手数料 0円\n・ドコモ携帯電話合算：手数料 165円\n\n※すべて税込"
電話回線のみの工事はできますか？,"電話回線のみの工事が可能。\n\n■提供サービス\n・スリムひかり電話ネクスト\n・スリムひかり電話ネクストA\n\n■月額料金（税込）\n・スリムひかり電話ネクスト：2,750円\n・スリムひかり電話ネクストA：3,850円\n\nネクストAには以下のオプションが含まれる\n(ナンバーディスプレイ、ボイスワープ、キャッチホン、迷惑電話お断りサービス、ナンバーリクエスト、着信お知らせメール)\n\n■契約条件\n・契約期間：2年\n・満了月以外の解約：解約金2,200円"
インターネットの速度が遅い場合、どのような原因や対策がありますか？,"通信速度が遅くなる原因は複数考えられる。以下を順に確認する。\n\n■まず試す対策\n・機器の再起動\n・Wi-Fiルーターの設置場所変更\n・Wi-Fiルーターの交換\n・中継器の導入\n\n■端末・機器側の原因\n・スマホやPCのストレージ、メモリ不足\n・OSやソフトウェアが未更新\n・端末やバッテリーの劣化、故障\n・古い機種を使用している\n\n■電波環境の問題\n・電子レンジやBluetooth機器との電波干渉\n・5GHz帯は直進性が高く、壁や床に弱い\n・Wi-Fi電波が届いていない場所で利用している\n\n■設定の問題\n・ルーターやネットワーク機器がループ接続されている\n\n■接続台数\n・同時接続台数が多いと通信速度が低下しやすい"
Wi-Fiルーターが故障した場合、どう対応しますか？,"当社レンタル品の場合は交換対応。\n\n■対応内容\n・代替機を郵送\n・到着後、既存ルーターと入れ替え\n・故障品は返却袋に入れて着払い返送\n\n※自然故障の場合は無料\n※機器が非常に古い場合は、返却不要としてお客様側で処分してもらうケースもある"
アンテナを使わず、光回線でテレビを利用できますか？,"スリムテレビの提供が可能。\n\n■サービス概要\n・NTT東西のフレッツテレビと同等\n・地デジ・BSが視聴可能\n・月額料金：990円（税込）\n\n■チャンネル情報\n・視聴可能チャンネルは地域により異なる\nNTT西日本：\nhttps://flets-w.com/opt/ftv/terms/channel.html \nNTT東日本：\nhttps://flets.com/ftv/channel.html \n\n■利用条件\n・提供エリア内であること\n・対応ルーター、テレビ配線が必要\n\n■オプション\n・スカパー！視聴可能\n基本料：429円＋選択チャンネル視聴料"
セキュリティを導入したい場合、どうすればよいですか？,"利用用途に応じて選択する。\n\n■アンチウイルスソフト\n・PCやスマホなど端末単位で導入\n・ウイルス検知、隔離、駆除を実施\n・利用台数分の契約が必要\n\n■UTM\n・ネットワーク全体を保護\n・不正通信や不要サイトを遮断\n・複数機能を一元管理できる\n\n■補足\n・キングソフトセキュリティ、ゼロセキュリティをスマホ・PC含め最大5台まで無料提供するサービスもある"
Wi-Fiの電波が弱い場合の原因と対処法は？,"以下を確認する。\n\n■主な原因\n・ルーターや端末の設置場所、向きが不適切\n・壁や床などの障害物、電波干渉\n・回線の混雑\n・2.4GHz帯利用による家電との干渉\n\n■対処法\n・機器の再起動\n・設置場所や向きの変更\n・5GHz帯への切替\n・混雑時間帯を避ける\n・ファームウェア更新\n・機器の買い替え\n・中継器やメッシュWi-Fiの導入"
他社で配管がなく工事不可を言われたが、工事はできますか？,"建物状況によっては可能な場合がある。\n\n■対応内容\n・光ファイバー入線のための付帯工事を行う場合がある\n・建物構造によって対応不可となることもある\n・最終判断は現地確認後となる\n\n■費用について\n・付帯工事費は当社負担となるケースが多い\n・ただし、当社負担上限を超える場合は対応不可となることがある\n・開通前にお客様都合で工事キャンセルした場合、工事費を請求する場合がある"
電話機を3台以上使いたい場合、どうすればいいですか？,"同時に3台以上の電話機を利用する場合は、ビジネスホンを検討する。\n\n・電話機の台数によって料金は変わらない\n・番号数や回線数によって料金が変動する"
ナンバーディスプレイを申し込みたい場合、どうすればいいですか？,"ナンバーディスプレイは、着信時に相手の電話番号を表示するサービス。\n\n■料金\n・月額：440円\n・登録事務手数料：3,300円\n\n■利用開始\n・申込から3営業日後（土日祝除く）\n\n■注意\n・ナンバーディスプレイ対応の電話機が必要"
転送電話（ボイスワープ）を申し込みたい場合、どうすればいいですか？,"転送番号は、かかってきた電話を別の電話番号へ転送できるサービス。\n\n■料金\n・月額：550円\n・登録事務手数料：3,300円\n\n■利用開始\n・申込から3営業日後（土日祝除く）\n\n■注意\n・利用には転送設定が必要\n・設定方法は以下を参照\nhttps://www.ntt-west.co.jp/denwa/voicewp/"
新しく電話番号を追加したい場合、どうすればいいですか？,"電話番号は最大5番号まで追加可能。\n\n■料金\n・月額：110円（番号ごと）\n・登録事務手数料：3,300円\n\n■利用開始\n・番号決定後、7営業日後（土日祝除く）\n\n■注意\n\n・複数番号やFAX併用時は「なり分け設定」が必要になる場合がある\n・なり分け：月額1,100円"
キャッチホンを申し込みたい場合、どうすればいいですか？,"キャッチホンは、通話中に別の着信を受けられるサービス。\n\n■料金\n・月額：330円\n・登録事務手数料：3,300円\n\n■利用開始\n・申込から3営業日後（土日祝除く）\n\n■注意\n・特別な設定は不要\n・電話機側がキャッチホン対応している必要がある"
支払方法を口座振替に変更したい場合、どうすればいいですか？,"口座振替の登録書類を郵送。\n記入後、ポストに投函。\n当社で受理後、翌月から口座振替に変更。"
支払方法をクレジット払いに変更したい場合、どうすればいいですか？,"クレジットカードの登録URLをSMSまたはPCに送信。\n当社委託サイトでカード情報を登録。\n登録後、翌月からクレジット支払に変更。"
スリム光サービスのインターネット速度はどのくらいですか？,"利用するサービスにより、速度が異なる。\n\n■スリム光クロスタイプ(マンションタイプ)\n・最大10Gbps\n・複数台で同時に大容量データや動画視聴が快適\n\n■スリム光ギガタイプ(マンションタイプ)\n・最大1Gbps\n・一般的な光回線の速度で多く利用されている\n\n■スリム光マンションタイプ by VDSL\n・最大100Mbps\n・電話線を利用したマンション向け回線で、軽いWeb閲覧やメール向け\n\n※表示速度は最大値であり、実際の通信速度は利用環境や時間帯により異なる"
ビジネスホンの取り扱いはありますか？,"取り扱いあり。\nビジネスホンは、オフィスでの円滑なコミュニケーションに必須のツール。\n\n■特徴\n・角度可変スタンド\n・クラウドサービス対応（らくらくGuidance）\n・誰カラー着信で着信者識別\n・ナンバーディスプレイ対応"
複合機の取り扱いはありますか？,"取り扱いあり。\nコピー、スキャン、プリントに加えて、FAXや無線LAN対応モデルもある。\n\n■特徴\n・高解像度出力\n・無線LAN対応で設置場所に柔軟\n・豊富なセキュリティ対策\n・使いやすい画面操作"
防犯カメラの取り扱いはありますか？,"取り扱いあり。\n屋外用、屋内用、パンチルト対応など様々な種類があり、セット価格で提供。\n\n■主な用途\n・店舗防犯：侵入を未然に防ぐ\n・遠隔監視：外出先からでも監視可能\n・業務効率化：人員配置や作業効率化に貢献\n・サービス向上：顧客行動の分析に活用"
インターネットの設定で、PPPoEとは何ですか？,"PPPoEはインターネット接続方式の一つ。\n主にADSLや光回線で使用され、IDとパスワードで認証して接続。\n特徴：\n・接続時にID・パスワード認証が必要\n・接続に時間がかかる場合がある\n・安定した接続が求められる場合に適している\n\n類似の接続方式にIPoEがあるが、IPoEはID・パスワード無しで接続可能で、より高速。"
契約者の名義は変更できますか？,"変更可能。\n変更手続きには、名義変更者の身分証明書が必要。\n名義変更には約1ヶ月ほどかかる。\n\n■必要書類\n・個人 → 個人(新)：新契約者の身分証明書（運転免許証、マイナンバーカード、健康保険証＋公共料金明細）\n・個人 → 法人：登記簿の写し\n・法人 → 個人：新契約者の身分証明書（運転免許証、マイナンバーカード、健康保険証＋公共料金）\n・法人 → 法人(新) ：登記簿の写し"
確定申告で通信費用の明細が必要です。1年分のご利用明細を送ってもらうことはできますか？,"可能。\n■手数料：330円（税込）\n■申込後、郵送にてお届け。"
電話が故障しました。どうすればいいですか？,"以下の手順で確認。\n\n①お客様の固定電話にかけてみる\n→通話が繋がらない、無音、または故障ガイダンスが流れた場合は故障の可能性\n\n②電源の確認\n→電源ケーブルが抜けていないか確認し、再接続\n\n③回線の確認\n→故障センター（0120-805-113）に問い合わせ、回線の状態を確認\n\n改善しない場合\n→故障センター職員が訪問する場合がある\n※自然故障でない場合、料金が発生することがある"
インターネットが繋がらない場合、どうすればいいですか？,"以下の手順を確認\n\n①ルーターの電源をOFF、ONし再起動を実施\n\n②ランプ状態を確認：\n・電源ランプ消灯 → 電源が入っていないか故障。 → 故障センター（0120-805-113）に連絡\n・PPPランプ：緑 → 正常。Wi-Fiルーターまたは無線LANカードに問題。再起動を実施。\n・PPランプ消灯 → インターネット未接続。再設定が必要。\n・ひかり電話ランプ消灯 → ひかり電話契約がある場合は故障の可能性。 → 故障センター（0120-805-113）に連絡。\n・ACTランプ消灯 → 故障。 → 故障センター（0120-805-113）に連絡。\n・光回線ランプ消灯 → 故障。 → 故障センター（0120-805-113）に連絡。\n\n■参考URL\nhttps://www.ntt-west.co.jp/kiki/support/hgw_lamp/"
スリム光電話で携帯電話などへの発信ができません。どうすればいいですか？,"発信番号にマイラインの設定がされている可能性あり。\n\n■解除手順：\n①電話機の設定メニューを開く\n②「マイライン設定」や「発信設定」を選択\n③「マイラインA/B解除」または「自動設定」に戻す\n\n■それでも解消しない場合：\n１．回線設定の確認 → スリム光電話やルーター設定を見直す\n２．別の電話機で試す → 電話機故障の確認\n３．ソフトウェアのアップデート → 古いバージョンの場合、アップデートで解決することがある\n４．故障センターに問い合わせ → 解決しない場合は、専門スタッフによる点検が必要"
転送電話(ボイスワープ)の設定方法を教えてください。,"主に2つの転送方法がある。\n\n■無条件転送\n・全ての着信を指定した転送先に転送\n・出張や会議中に便利\n\n■無応答時転送\n・電話に出なかった場合に転送\n・忙しいときや不在時に便利\n\n■設定手順\n①転送先電話番号を登録\n→ 142 → ガイダンス → 2 → ガイダンス → 転送先電話番号 → ガイダンス → 完了\n②呼び出し回数を設定\n→ 142 → ガイダンス → 3 → ガイダンス → 呼び出し回数(0〜9) → ガイダンス → 完了\n③転送方法を選択\n→ 無条件転送：142 → ガイダンス → 1 → 1\n→ 無応答転送：142 → ガイダンス → 1 → 2\n④転送停止\n→ 142 → ガイダンス → 0 → 完了\n\n■詳細設定・設定方法は以下参照\nhttps://www.ntt-west.co.jp/denwa/voicewp/"
電話番号を複数持ちたい場合、どうすればいいですか？,"電話回線、電話番号を複数利用することは可能。\n\n■追加オプション\n・番号追加：110円（税込）\n・複数チャンネルオプション：220円（税込）\n\n■手数料\n・事務手数料：3,300円（税込）\n\n■必要機器\n・ビジネスホンが必要"
転送電話の通話料金はいくらかかりますか？,"1分 17.6円。\n1分単位で課金される。\n例)10分 17.6円*10回 = 176円"
国内の固定電話の通話料金はいくらかかりますか？,"3分 8.8円。\n3分単位で課金される。\n例) 10分 8.8円*10回 = 26.4円"
携帯電話への発信の通話料金はいくらかかりますか？,"1分 17.6円。\n1分単位で課金される。\n例) 10分 17.6円*10回 = 176円"
インターネットを解約して、電話だけの契約にしたい場合、どうすればいいですか？,"インターネットの廃止日を決定後、手続きを進める。\n工事は不要で、既存の設備をそのまま利用可能。\nプラン変更に伴い、事務手数料4,400円（税込）がかかる。\n\n■提供サービス\n・スリムひかり電話ネクスト\n・スリムひかり電話ネクストA\n\n■月額料金（税込）\n・スリムひかり電話ネクスト：2,750円\n・スリムひかり電話ネクストA：3,850円\n\nネクストAには以下のオプションが含まれる\n(ナンバーディスプレイ、ボイスワープ、キャッチホン、迷惑電話お断りサービス、ナンバーリクエスト、着信お知らせメール)\n\n■契約条件\n・契約期間：2年\n・満了月以外の解約：解約金2,200円"
電話プランに変更時、今までの利用期間はどうなりますか？解約金はかかりますか？,"解約金がかかる。\nプラン変更時にリセットされ、変更日が契約開始日となります。"
通話明細を出してほしい,"可能\n発行手数料 550円。"
引越し先でも同じ電話番号は使えますか？,"引越し先による。\n\n■提供エリア内の場合\n・NTT東西の光回線提供エリアであれば、電話番号の引継ぎが可能。\n\n■提供エリア外の場合\n・NTT東西の光回線提供エリア外だと、番号引継ぎができない。\n\n■例外\n・電柱やインフラの位置関係により、提供エリア内でも番号引継ぎができない場合がある。\n\n■提供エリア確認\n【西日本在住の方】\nhttps://flets-w.com/cart/index.php \n【東日本在住の方】\nhttps://flets.com/app2/search_c.html"
迷惑電話が多いので、電話を着信拒否したい場合、どうしたらいいですか？,"迷惑電話登録機能には、電話機側と回線側の2つのパターンがある。\n\n■電話機側\n・着信時に電話機から操作し、同じ番号からの着信を拒否できる。\n・無料で利用可能。ただし、ナンバーディスプレイ（440円税込）が必要。\n\n■回線側\n・ひかり電話番号毎または回線単位での登録が可能。\n・最大30個の番号を拒否登録できる。\n・月額 220円（税込）および事務手数料 3,300円（税込）が必要。\n・迷惑電話登録機能が装備された電話機を利用していれば、無料で利用可能（ナンバーディスプレイが必要）。"
電話のみの契約からWi-Fiを利用したい場合、どうすればいいですか？,"スリム光またはスリム光クロスへのプラン変更が必要。\n\n■手続き\n・NTTからHGW、当社からWi-Fiルーターが届いた後、インターネット設定を実施しWi-Fi接続。\n・V6プラスの場合はインターネット設定不要。\n\n■料金（税込）\n・ひかり電話ネクスト：2,750円（通常料金）、550円（ネットセット料金）\n・ひかり電話ネクストA：3,850円（通常料金）、1,650円（ネットセット料金）\n・クロスタイプ：6,050円（プロバイダー料金込み）\n・ギガタイプF：5,280円（プロバイダー料金込み）\n・ギガタイプM：3,850円（プロバイダー料金込み）\n\n■特徴\n・Wi-Fiルータープレゼント\n・回線工事不要\n・初期費用無料（事務手数料 4,400円など）\n・Wi-Fiでネット使い放題\n\n■キャンペーン\n・1年間 1,000円引き（電話＋インターネット料金から）"
電話リレーサービス料とは何ですか？,"電話リレーサービスは、聴覚や言語に障がいがある方が電話を利用できるサービス。\n電話リレーサービス料は、そのサービス提供に必要な費用で、全ての電話契約者が負担。\n詳細は下記総務省のページ参照：\nhttps://www.soumu.go.jp/menu_seisaku/ictseisaku/telephonerelay/index.html"
ユニバーサル料金とは何ですか？,"ユニバーサルサービスは、すべての人が平等に通信サービスを利用できるようにする仕組み。\nユニバーサル料は、通信インフラが整っていない地域にもサービスを提供するために、全ての電話利用者が負担する料金。\n詳細は下記総務省のページ参照： \nhttps://www.soumu.go.jp/main_sosiki/joho_tsusin/universalservice/"
電報は使えますか？,"ひかり電話から電報を送ることができる。\n■手順\n①「115」にダイヤル\n②電話番号と名前を伝える\n③オペレーターの質問に答え、電報の種類・お届け日・メッセージを伝える\n電報料金は、使用した電話番号の料金と一緒に支払い"
口座振替の振替日は毎月いつ頃になりますか？,"毎月27日\n27日が平日以外の場合は、翌日または翌々日の平日が引落日となる。"
毎月の利用料金の明細を郵送してもらえますか？,"口座振替・クレジット払いのお客様のみ可能。\n手数料として送料込み165円。\nマイページからも印刷できる。"
サービスを解約したい場合、どのように手続きをすればよろしいですか？,"解約連絡後、解約日を決定し、書面で送付。\nNTTルーター(ONUやHGW)は返却キッドを利用して返却。\nWi-Fルーターをレンタルの場合も同様に返却キッドを利用して返却。利用月の翌月が最終の請求となる。"
メールアドレスを使いたい場合、どのようにすればよろしいですか？,"設定を遠隔又は口頭で案内。\n\n■ 設定方法ページURL\n・Outlook: https://support.microsoft.com/ja-jp/office/outlook-for-windows-%E3%81%AB%E3%83%A1%E3%83%BC%E3%83%AB-%E3%82%A2%E3%82%AB%E3%82%A6%E3%83%B3%E3%83%88%E3%82%92%E8%BF%BD%E5%8A%A0%E3%81%99%E3%82%8B-6e27792a-9267-4aa4-8bb6-c84ef146101b \n・Gmail: https://support.google.com/mail/answer/56256?hl=ja \n・Thunderbird：https://www.wikihow.jp/mozilla-thunderbird%E3%82%92%E3%82%BB%E3%83%83%E3%83%88%E3%82%A2%E3%83%83%E3%83%97%E3%81%99%E3%82%8B \n・Mac標準メール：https://support.apple.com/ja-jp/guide/mail/mlhl5094a9f2/16.0/mac/26 \n・iPhone / iPad：https://support.apple.com/ja-jp/102619 \n・Android：https://support.google.com/mail/answer/6078445?hl=ja"
IPv6に変更したい場合、どのように設定すればいいですか？,"■NTTルーター(HGW)タイプ\n１．HGW利用か確認\n２．当社よりIPv6プラス利用の信号を送信\n３．1日～2日で変更可能\n４．必要に応じて再起動案内\n※お客様側での操作は不要\n\n■Wi-Fiルータータイプ\n１．Wi-Fiルーター利用か確認\n２．当社よりIPv6プラス利用の信号を送信\n３．ルーター管理画面にログイン\n４．接続方法をPPPoEからIPv6に変更\n５．IPv6プラスを有効化→設定保存\n６．ルーターの再起動"
口座振替で残高不足の場合、どうやって利用料金を支払えばいいですか？,"コンビニ払い対応の請求書が自動郵送される。\n連絡をすれば銀行振込も可能。"
口座振替で料金の引き落としがされなかった理由は何がありますか？,"①残高不足\n②口座振替の登録未完了\n③口座情報の不備・相違\n④口座が利用できない状態\n⑤金融機関側の事情\n⑥振替依頼書の不備・未返送"
マイページの利用方法を教えてください。,"マイページログインURL：[ここからアクセス](https://www.slim-j.net/mypage/)\n※IDとパスワードは会員登録書に記載。紛失時は再発行に数日かかる。\n\nマイページでは以下のことが可能\n・利用明細の確認とダウンロード（過去の明細も確認可）\n・利用明細にインボイス情報が載っているため確定申告にも使用可\n・住所や電話番号などお客様情報の変更\n・明細の送付先変更\n・支払方法の変更申込\n・契約内容変更の申込\n・解約の申込\n・パスワード変更"
Wi-Fiセキュリティ規格WPAとはなんですか？,"WPAは、Wi-Fiの通信を暗号化し、第三者の盗聴や不正接続を防ぐ規格。\nパスワードを知っている端末だけが接続可能。\n\n■WPAの種類\n- WPA（初期規格）\n・WEPの弱点を補うために登場、現在は非推奨\n- WPA2（現在も主流）\n・AES暗号方式採用、家庭用・法人用とも安全\n- WPA3（最新規格）\n・より強固な暗号方式\n・推測されやすいパスワードでも攻撃に強い\n・公衆Wi-Fiでも通信内容を保護\n\n■WPA3のメリット\n- WPA2で問題となった攻撃手法に耐性\n- パスワード総当たり攻撃に強い\n- 設定自動化でミスを防止"
マイページのIDをパスワードを紛失した場合、どうすればいいですか？,"会員登録証の再発行で対応。\n手元に届くまで数日かかる。"
スリム光サービスの月額料金を教えてください。,"東西一律（プロバイダー込み、税込）\n- スリム光クロス：6,050円\n- スリム光ギガタイプファミリータイプ：5,280円\n- スリム光ギガタイプマンションタイプ：3,850円\n- スリムひかり電話ネクスト：2,750円\n- スリムひかり電話ネクストA：3,850円"
スリムBBとは何ですか？,"当社独自のインターネットプロバイダーサービス\n\n■プロバイダーとは\nインターネットに接続するためのサービスを提供する事業者のこと(ISPとも呼ばれる)\n\n■月額料金\n1,100円（税込）\n\n■初期費用\n無料\n\n■接続方式\nIPoE、PPPoE\n\n■支払い方法\n請求書払い・口座振替・クレジット支払・ドコモ携帯電話合算の4種類\n\n■契約期間\n2年完走型\n\n■解約金\n2年未満の場合 1,100円\n\n■メールアドレス\n最大3つまで"
同じ敷地でルーターの場所を移動する場合、どうしたらいいですか？,"敷地内移転扱い。\n\n- Wi-FiルーターやTPLinkの移動：単純に場所を移動するだけで利用可能\n- HGWなどの移動の場合：NTTへの報告や工事が必要\n・移転工事完了までおおよそ1ヶ月\n・工事が発生する場合は料金がかかる可能性あり"
電話が使えなくなった場合、どうすればいいですか？,"以下の手順で確認。\n\n①お客様の固定電話にかけてみる\n→通話が繋がらない、無音、または故障ガイダンスが流れた場合は故障の可能性\n\n②電源の確認\n→電源ケーブルが抜けていないか確認し、再接続\n\n③回線の確認\n→故障センター（0120-805-113）に問い合わせ、回線の状態を確認\n\n改善しない場合\n→故障センター職員が訪問する場合がある\n※自然故障でない場合、料金が発生することがある"
書類の送付住所の変更をしたい場合、どうしたらいいですか？,"毎月届く請求書や明細などの送付物の宛名・住所変更は電話受付のみ。\n基本は翌月分から反映だが、請求がまだ上がっていなければ当月分から変更可能。\n受付者がスリム管理画面の住所情報を変更する。"
解約をしたい場合、いつ連絡をしたらいいですか？,"解約希望日の1ヶ月前まで。"
請求書の期限がきれた場合、どうしたらいいですか？,"請求書は自動再送される。\n期限切れ時はこちらから連絡を行う。2～3回連続で未払いの場合、強制解約処理となる。"
V6プラスを利用したい場合、どうすればいいですか？,"■NTTルーター(HGW)タイプ\n１．HGW利用か確認\n２．当社よりV6プラス利用の信号を送信\n３．1～2日で変更可能\n４．必要に応じて再起動案内\n※お客様側での操作は不要\n\n■Wi-Fiルータータイプ\n１．Wi-Fiルーター利用か確認\n２．当社よりV6プラス利用の信号を送信\n３．ルーター管理画面にログイン\n４．接続方式をPPPoEからIPv6に変更\n５．V6プラスを有効化→設定保存\n６．ルーター再起動"
V6プラスを切断したい場合、どうしたらいいですか？,"■NTTルーター(HGW)タイプ\n当社からV6プラス利用の信号を切断後、翌日から利用不可。\n※お客様側での操作は不要\n\n■Wi-Fiルータータイプ\n当社からV6プラス利用の信号を切断後、翌日から利用不可。\n・TP-Link：管理画面から接続方式を切替\n・NEC：本体側面の切替スイッチで変更"
プロバイダーのパスワードを紛失した場合、どうしたらいいですか？,"パスワード再発行を行う。\n再発行書類は郵送となり、到着まで数日かかる。"
