No,質問,期待回答,実際回答,スコア,判定
10,最低利用期間はありますか？,スリム光サービスの契約期間は、2年契約自動更新型となります。\n満了時以外の解約の場合は、定額制プランは5000円、電話のみのプランは2200円となります。\nまた、プラン変更時も違約金の対象となります。,"お問い合わせいただきありがとうございます。

最低利用期間についてですね。
申し訳ございません。お調べいたしましたが、ご質問いただいた最低利用期間に関する情報が見つかりませんでした。

ご契約のプランによって期間が異なる場合がございますので、恐れ入りますが、ご契約時の書類をご確認いただくか、担当部署までお問い合わせいただけますでしょうか。

お手数をおかけいたしますが、よろしくお願い申し上げます。",0.0,×
11,利用休止はできますか？,利用休止はありません。,"お問い合わせいただきありがとうございます。

誠に申し訳ございませんが、お問い合わせいただいた「利用休止」に関する情報が見つかりませんでした。
お手数をおかけいたしますが、詳細については担当窓口へご確認いただけますでしょうか。",0.0,×
12,短期間も利用できますか？,短期間も利用できます。\nただし、契約期間満了時以外の解約の場合は解約金がかかります。,"お問い合わせいただきありがとうございます。

ご質問いただいた短期間でのご利用につきまして、あいにくお調べいたしましたが、関連する情報を見つけることができませんでした。
誠に申し訳ございません。

契約期間やプランに関する詳細につきましては、お手数ですが、担当窓口へ直接お問い合わせいただけますでしょうか。",0.799,〇
13,法人でも申込みはできますか？,個人・法人問わず申込み可能です,"お問い合わせありがとうございます。

はい、法人様でもお申込みいただけます。

個人契約から法人契約への名義変更や、法人様間での名義変更も承っておりますので、ご安心ください。",0.798,〇
14,プロバイダー加入は必要ですか？,インターネットをご利用の場合は、必須となります。\nスリム光サービスは、基本的にプロバイダ料金も含まれた価格でございます。\nご利用とともに加入となりますので、ご安心ください。\n※電話のみの場合は、セットに含まれておりません。,"お問い合わせありがとうございます。

誠に申し訳ございませんが、いただきました情報の中には、プロバイダー加入の要否に関する記載がございませんでした。

一般的に、インターネットをご利用いただくためには、回線のご契約とは別にプロバイダーへのご加入が必要となります。
ただし、ご契約のプランによってはプロバイダーサービスがセットになっている場合もございます。

お客様のご契約内容によって異なりますので、詳しくお調べいたします。よろしければ担当部署へお繋ぎすることも可能ですが、いかがでしょうか。",0.866,〇
15,転用番号はどのようにすればとれますか？,【取得方法】\n・インターネットからのご取得を検討されているお客様\n(西日本在住の方)\nhttps://flets-w.com/collabo/tenyou/entry/ \n(東日本在住の方)\nhttps://flets.com/app4/input/index/ ・電話でご取得を検討されているお客様\n(西日本在住の方)\n0120-553-104\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く)\n\n(東日本在住の方)\n0120-140-202\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く),"お問い合わせありがとうございます。

転用番号の取得方法についてですね。

恐れ入りますが、いただきました参考情報の中には、転用番号の取得に関する情報がございませんでした。
一般的に、転用番号は現在ご契約中の「フレッツ光」から、他の光コラボレーション事業者のサービスへ乗り換える（これを「転用」といいます）際に必要となる番号です。

取得方法は以下の通りです。

*   **NTT東日本・NTT西日本の専用Webサイトまたはお電話**にてお手続きいただけます。

お手続きの際には、お客様ID（CAF/COP番号）やご契約者様名、設置場所住所、お支払い方法などの情報が必要となりますので、事前にご準備いただくとスムーズです。

もしご不明な点がございましたら、お気軽にお尋ねください。",0.731,〇
16,事業者変更番号がほしいです、どうすればいいですか？,当社より事業者変更番号を払い出しいたしますので、0120-36-3624までお問合せください。\n\n事業者変更時のトラブルの一例です。(実例)\n・事業者変更後、インターネットが繋がらなくなった。\n・聞いていた料金よりも高額になった。\n当社でできていたサポートが、変更先では受けれなくなった。\・何か事業者側に依頼をするときに、ガイダンスや手間がかかるようになった。\n・当社よりレンタルで提供していたサービスを返却しないといけなくなった。\n・解約金・事業者変更手数料が返金されない、または費用負担があるとは聞いていなかった。\n・事業者変更後、営業担当者と連絡が繋がらなくなった。\n\n事業者変更についてのご案内\n・発行までお時間が要します。\n・ご契約者以外の対応は致しかねます。\n・支払状況により発行致しかねる場合がございます。\n・成りすまし防止のため、期間を開けてご契約者様の固定電話(固定がない場合は、携帯電話)へご連絡し、ご説明後事業者変更番号を発行します。\n\n発行後は、郵送にてお手元に届きます。\n新しく変更される事業者様へご提出ください。,"お問い合わせいただきありがとうございます。
事業者変更承諾番号の発行についてですね。

事業者変更承諾番号は、現在ご契約中の通信事業者にて発行のお手続きが必要となります。

恐れ入りますが、お調べいたしましたが、当サービスでの具体的なお手続き方法に関する情報が見つかりませんでした。
大変お手数ではございますが、詳細につきましては、お客様サポート窓口へ直接お問い合わせいただけますでしょうか。

ご不便をおかけいたしますが、何卒よろしくお願い申し上げます。",0.0,×
17,IPv6とは何ですか,IPv6とは、インターネットプロトコルの第6版で、IPv4に続く次世代のインターネット通信の規格です。\n\n【IPv6の特徴】\nIPv4と比べてアドレスが128ビットに拡張されており、約340潤(かん)個のIPアドレスが使用可能です。\nIPv4の約43憶個と桁違いの差があり、地球上のあらゆるものをインターネットへ接続できる可能性があります。\nIPv4と比べて通信速度が速くなる可能性があります。\nIPoE方式による接続方式では、帯域幅の広い通信網を経由できるため、回線の混雑を避けることができます。\nIPSec(アイピーセック)という技術が組み込まれているため、セキュリティの改善につながります。,"ご質問ありがとうございます。
IPv6についてご説明しますね。

IPv6とは、現在広く使われている「IPv4」に続く、新しい世代のインターネット通信規格です。

主な特徴として、以下の3点が挙げられます。

1.  **膨大な数のIPアドレス**
    IPv4に比べて使用できるIPアドレスの数が桁違いに多く（約340潤個）、事実上、枯渇する心配がありません。

2.  **通信速度が速くなる可能性**
    IPoEという新しい接続方式を利用することで、回線の混雑を避けやすくなり、通信速度の向上が期待できます。

3.  **セキュリティの強化**
    IPSec（アイピーセック）というセキュリティ技術が標準で組み込まれているため、通信の安全性が高まっています。

ご不明な点がございましたら、お気軽にお尋ねください。",0.936,〇
18,支払い方法を変更したい,請求書払い・口座振替・クレジット支払いの3種類からお選び頂けます。\n\n請求書払い手数料 275円\nご利用頂いた月の翌月中旬頃に毎月お手元に届きます。\n\n口座振替手数料 110円\nご利用頂いた月の翌月27日に引落\n\nクレジット支払い手数料 0円\n\n明細発行手数料 220円となります。,"お支払い方法の変更をご希望とのこと、承知いたしました。

申し訳ございませんが、お調べしたところ、お支払い方法の変更に関する情報が見つかりませんでした。

大変恐れ入りますが、詳しいお手続きにつきましては、担当部署、またはカスタマーサポートへ直接お問い合わせいただけますでしょうか。

お手数をおかけいたしますが、よろしくお願い申し上げます。",0.0,×
19,電話回線の工事はしてもらえますか？,電話回線のみの工事でできます。\nスリムひかり電話ネクスト・スリムひかり電話ネクストAと2種類サービスがございます。\n\n-月額使用料金-\nスリムひかり電話ネクスト 2750円\nスリムひかり電話ネクスト 3850円※1\n税込\n1(ナンバーディスプレイ 440円・ボイスワープ 550円・キャッチホン 330円・迷惑電話お断りサービス 220円・ナンバーリクエスト 220円)\n\n契約期間は2年となり、満了以外の場合は2000円の解約金がかかります。,"お問い合わせいただきありがとうございます。

はい、当社では光ファイバーを引き込むための配管工事などの付帯工事を承っております。
他社様で工事が難しいと判断された場合でも対応可能なケースがございますので、まずはお気軽にご相談ください。

詳しい状況をお伺いいたしますので、お手数ですが以下の窓口までお問い合わせいただけますでしょうか。

**【お問い合わせ窓口】**
**電話番号: 0120-36-3624**",0.804,〇
20,インターネットの速度が遅いので、改善したいです。,通信速度が遅くなる原因には、機器や回線、電波干渉、接続台数などさまざまな要因が考えられます。\n\n\再起動・Wi-Fiルーターの交換・位置変更・中継器の導入などで改善される場合がございます。\n\n【端末・機器側の問題】\nスマホ(パソコン)のストレージやメモリが不足している\nスマホ(パソコン)のOSがアップデートされていない\nスマホ本体(パソコン)やバッテリー劣化・故障している\n古い機種のスマホ(パソコン)を使っている\n\n【電波干渉の問題】\n電子レンジなどの電波を発する家電やBluetoothとの電波干渉\n5Gの電波が直進性が高いという特性\n電波が届かない\n\n【設定の問題】\nループ接続されている\n\n【接続台数】\nWi-Fiルーターごとに接続台数が決まっており、同時に利用してると通信速度が落ちる傾向がある,"お問い合わせいただき、ありがとうございます。
インターネットの速度が遅いとのこと、ご不便をおかけしております。

速度が遅くなる原因はいくつか考えられますが、まずはお手元でご確認いただける以下の方法をお試しいただけますでしょうか。

**【ご確認いただきたいこと】**

*   **機器の再起動**
    ご利用のパソコンやスマートフォン、およびルーターやモデムの電源を一度切り、数分待ってから再度電源を入れてみてください。これだけで改善される場合がございます。

*   **接続方法の変更**
    もし無線LAN（Wi-Fi）で接続している場合は、可能でしたら有線LANケーブルで直接接続し、速度に変化があるかご確認ください。

*   **他の端末での確認**
    もし他のパソコンやスマートフォンがあれば、そちらでも同様に速度が遅いかお試しください。

上記の方法でも改善が見られない場合は、より詳しい状況をお調べいたしますので、お手数ですが、担当部署までご連絡いただけますでしょうか。",0.823,〇
21,WiFiルーターが故障しました、どのようにすればいいですか,当社よりレンタル品としてご提供している場合は、交換となります。\n0120-36-3624までお問合せをいただき、代替品を郵送いたします。\n到着後、Wi-FIルーターを交換していただき、故障したWi-Fiルーターを返却袋に入れて当社まで着払いでご返却下さい。\n※自然故障の場合は無料です。,"お問い合わせいただきありがとうございます。
Wi-Fiルーターが故障されたとのこと、ご不便をおかけしております。

当社からレンタルされているWi-Fiルーターが故障した場合は、交換対応をさせていただきます。
お手数ですが、以下の電話番号までご連絡ください。代替品を郵送にてお送りいたします。

**電話番号：0120-36-3624**

代替品が到着しましたら、ルーターを交換していただき、故障したルーターは同封の返却袋に入れて着払いにてご返送ください。
なお、自然故障の場合は無料で交換いたします。

もしお客様ご自身でご購入されたルーターをご利用の場合は、恐れ入りますが、ルーターのメーカー様へお問い合わせいただくか、新しい製品への買い替えをご検討くださいますようお願いいたします。",0.863,〇
22,アンテナではなく光を使ったテレビを利用したい,スリムテレビをご案内いたします。\nスリムテレビとは、NTT東西のフレッツテレビと同等のサービスとなります。\n月額料金 825円で地デジとBSサービスをご利用頂けます。\nご利用頂けるチャンネルは、地域により異なります。\nNTT西日本 参考URL\nhttps://flets-w.com/opt/ftv/terms/channel.html \n\nNTT東日本 参考URL\nhttps://flets.com/ftv/channel.html \n\nご利用頂くには、提供エリアでかつ、対応のルーター・テレビ配線が必要となります。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせありがとうございます。
光回線を利用したテレビサービスにご興味をお持ちなのですね。

誠に申し訳ございませんが、お調べいたしましたが、現在こちらの情報の中にはテレビサービスに関する詳しいご案内が見つかりませんでした。

お手数をおかけして大変恐縮ですが、サービスの詳細やお手続きにつきましては、担当の窓口へ一度お問い合わせいただけますでしょうか。",0.0,×
23,セキュリティをいれたい、どのようにすればいいですか,セキュリティですが、用途に合わせごご利用いただくことを推奨いたします。\n\n【アンチウイルスソフト】\nパソコンやスマートフォンの端末側にソフトを導入し、ファイル開封やプログラムの実行といったユーザー行動に伴い、リアルタイムでそれらをスキャンし、悪意のあるプログラムやウイルスの検出・駆除を行います。 感染したファイルはアンチウイルスによって速やかに隔離し、他端末やシステムへの感染拡大を防ぐことが可能です。\nご利用台数分の費用と設定が必要となります。\n\n【UTM】\n複数のセキュリティ機能を1つの機器で運用管理できるため、コストやネットワーク担当者の負担が軽減します。\n導入が容易で、工事などの必要がなく、いくつものセキュリティ製品を個別に導入するよりも短時間で導入でき、ネットワーク管理の一元化を実現でき、業務に関係のないサイトやコンテンツへのアクセスをブロックしたり、不正な通信を検知して遮断したりできます。,"お問い合わせいただきありがとうございます。
セキュリティの導入についてですね。

恐れ入りますが、どのようなセキュリティ対策にご興味がございますでしょうか。

例えば、パソコンやスマートフォンをウイルスから守るためのセキュリティソフトでしょうか。
あるいは、インターネット回線全体を保護するようなサービス（オプション）をご希望でしょうか。

もう少し詳しくお聞かせいただけますと、関連する情報をご案内しやすくなりますので、お手数ですがご確認いただけますと幸いです。",0.871,〇
24,WiFiの電波が弱い,【原因】\nWi-Fiルーターや端末の設置場所や向きが不適切\n電波干渉や障害物がある\n回線が混雑している\nWi-Fiルーターや端末に不具合がある\nWi-Fiの周波数帯が2.4GHz帯で、電子レンジなどの電波干渉を受けている\n\n【対処法】\nWi-Fiルーターや端末を再起動する\nWi-Fiルーターの設置場所や向きを変える\nWi-Fiの周波数帯を5GHz帯に変更する\n回線が混雑する時間帯を避ける\nWi-Fiルーターの制御プログラムである「ファームウェア」を最新版にアップデートする\nWi-Fiルーターや端末を買い替える\n中継器を設置する\nメッシュWi-Fiを導入するなどになります。,"ご質問ありがとうございます。
WiFiの電波が弱いとのこと、ご不便をおかけしております。

電波が弱くなる原因としては、主に以下のようなことが考えられます。

*   Wi-Fiルーターやご利用端末の設置場所や向きが適していない
*   ルーターの周りに壁や家具などの障害物がある
*   電子レンジなど、他の家電製品からの電波干渉を受けている
*   回線が混み合う時間帯に利用している
*   Wi-Fiルーターや端末に一時的な不具合が発生している

お手数ですが、以下の対処法をお試しいただけますでしょうか。

1.  **Wi-Fiルーターとご利用端末の再起動**
    まず、両方の機器の電源を一度切り、少し時間をおいてから再度電源を入れてみてください。

2.  **Wi-Fiルーターの設置場所の見直し**
    ルーターを床や部屋の隅から離し、できるだけ家の中心に近い、少し高い場所へ移動させてみてください。

3.  **Wi-Fiの周波数帯を5GHz帯に変更する**
    2.4GHz帯をご利用の場合、電子レンジなどと電波が干渉することがあります。5GHz帯に変更すると改善される可能性があります。

その他、ルーターの制御プログラムである「ファームウェア」を最新版に更新したり、電波をより広範囲に届けるための「中継器」や「メッシュWi-Fi」を導入したりすることも有効な解決策となります。

ぜひ、お試しください。",0.859,〇
25,別の事業者で光を申込したが配管がなく、工事ができないといわれた。それでも工事はできますか,可能な場合がございます。\n当社では、光ファイバーを入線するための付帯工事を積極的に行っております。\nまずは0120-36-3624までご相談ください。,"お問い合わせいただき、ありがとうございます。
他の事業者様で配管がなく工事ができないとのこと、ご心配のことと存じます。

建物の状況にもよりますが、既存の配管がない場合でも、エアコンのダクトを利用したり、壁に小さな穴を開けて直接光ファイバーを引き込んだりすることで、工事ができる可能性がございます。

正確な判断のためには、一度現地調査をさせていただく必要がございます。
もしよろしければ、担当部署にて詳しい状況をお伺いし、調査の手配をさせていただきますので、ご希望の場合はお申し付けください。",0.838,〇
26,電話機を3つ以上使いたい、どのようにすればいいですか,電話機を3台同時以上ご利用頂くには、ビジネスホンをご検討ください。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせいただき、ありがとうございます。

電話機を3台以上ご利用になりたいとのこと、承知いたしました。

ご契約プランやご利用環境によってご案内が異なりますため、誠に恐れ入りますが、詳細をお伺いした上で最適な方法をご案内させていただきます。
お手数ですが、担当部署まで一度ご相談いただけますでしょうか。

何卒よろしくお願い申し上げます。",0.798,〇
27,ナンバーディスプレイを申込したい,ナンバーディスプレイ 440円\n登録事務手数料 2200円\n申込後、3日後(土日祝を除く)からサービスをご利用頂けます。\nご利用にはナンバーディスプレイ対応の電話機が必要です。,"お問い合わせありがとうございます。

申し訳ございません。
お問い合わせいただいたナンバーディスプレイのお申し込み方法につきまして、お調べいたしましたが、関連する情報を見つけることができませんでした。

お手数をおかけいたしますが、詳細につきましては、担当部署へご確認いただけますでしょうか。",0.848,〇
28,転送電話を申込したい,転送料金 550円\n登録事務手数料 2200円\n申込後、3日後(土日祝を除く)からサービスをご利用頂けます。\n転送をご利用頂くには、設定が必要になります。\n詳しくは「転送設定」を検索頂くか、0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただきありがとうございます。

転送電話のお申し込みについてですね。
あいにく、お申し込み手続きに関する具体的な情報は確認できませんでした。

もし、すでにご契約済みで設定方法についてお知りになりたい場合は、以下の手順で設定が可能です。

**【転送電話の設定手順】**

1.  **転送先を登録する**
    「142」にダイヤル後、ガイダンスに従い「2」を押し、転送先の電話番号を登録します。

2.  **呼び出し回数を設定する（無応答時転送の場合）**
    「142」にダイヤル後、ガイダンスに従い「3」を押し、転送するまでの呼び出し回数を設定します。

3.  **転送を開始する**
    「142」にダイヤル後、ガイダンスに従い「1」を押して転送を開始します。
    （「1」で無条件転送、「2」で無応答時転送が選べます）

4.  **転送を停止する**
    「142」にダイヤル後、ガイダンスに従い「0」を押すと停止できます。

転送電話サービス自体の詳しいお申し込み方法やご利用料金につきましては、恐れ入りますが、担当部署へお問い合わせいただけますでしょうか。",0.802,〇
29,新しく電話番号を申込したい,月額料金 番号毎 110円\n登録事務手数料 2200円\n申込後、新規で発番した電話番号をご案内します。\n番号決定後、7日後(土日祝を除く)からサービスをご利用頂けます。\n※なり分け設定が必要な場合がございます。\n詳しくは0120-36-3624までご連絡ください。,"お問い合わせいただきありがとうございます。
新しい電話番号のお申し込みですね。

申し訳ございません。お調べいたしましたが、新しい電話番号のお申し込み手続きに関する情報が見つかりませんでした。

お手数をおかけし大変恐縮ですが、詳細につきましては、担当部署へ直接お問い合わせいただけますでしょうか。",0.0,×
30,キャッチホンを申込したい,申込後、設定せずご利用頂けます。\n月額料金 330円\n登録事務手数料 2200円\n申込後、3日後(土日祝除く)からサービスをご利用頂けます。\n特に設定などは必要ありませんが、電話機の機能でキャッチホンがない場合はご利用できません。\n詳しくは電話機のメーカーにお問い合わせくださいませ。,"お問い合わせいただき、ありがとうございます。

申し訳ございません。お問い合わせいただいた「キャッチホンのお申し込み」につきまして、お調べいたしましたが、あいにく関連する情報を見つけることができませんでした。

恐れ入りますが、詳細につきましては担当部署にてご案内いたしますので、一度お問い合わせいただけますでしょうか。
お手数をおかけいたしますが、よろしくお願い申し上げます。",0.862,〇
31,支払方法を口座振替にしたい,口座振替の登録書類を郵送いたします。\nご記入後、ポストにご投函くださいませ。\n当社受理後、翌月より口座振替に変わります。,"お問い合わせいただきありがとうございます。
お支払い方法を口座振替へ変更されたいとのこと、承知いたしました。

申し訳ございませんが、お調べいたしましたが、お手続きに関する詳細な情報を見つけることができませんでした。

大変恐れ入りますが、詳細なご案内につきましては、弊社カスタマーサポートまで直接お問い合わせいただけますでしょうか。
お手数をおかけいたしますが、何卒よろしくお願い申し上げます。",0.777,〇
32,支払方法をクレジット払いにしたい,クレジットカードの登録URLをショートメールまたはPCに送信します。\n当社委託サイトにクレジットカード登録を行ってください。\n登録後、翌月よりクレジット支払に変わります。,"お問い合わせいただき、ありがとうございます。

お支払い方法のクレジットカードへのご変更ですね。

申し訳ございません。お調べいたしましたが、お支払い方法の変更に関する具体的なお手続きについて、ご案内できる情報が見つかりませんでした。

大変恐れ入りますが、詳しいお手続き方法につきましては、担当窓口にてご案内させていただきます。お手数をおかけいたしますが、弊社カスタマーサポートまで直接お問い合わせいただけますでしょうか。

ご不便をおかけし大変申し訳ございませんが、何卒よろしくお願い申し上げます。",0.0,×
33,スリム光サービスのインターネット速度はどのくらいですか,ご利用のサービスのより、速度が異なります。\nスリム光クロスタイプ(マンションタイプ) 10Gbps\nスリム光ギガタイプ(マンションタイプ) 1Gbps\nスリム光マンションタイプ by VDSL 100Mbps,"お問い合わせいただきありがとうございます。

スリム光サービスのインターネット速度についてお調べしましたが、あいにく関連する情報を見つけることができませんでした。

お力になれず、大変申し訳ございません。",0.736,〇
