No,質問,期待回答,実際回答,スコア,判定
10,最低利用期間はありますか？,スリム光サービスの契約期間は、2年契約自動更新型となります。\n満了時以外の解約の場合は、定額制プランは5000円、電話のみのプランは2200円となります。\nまた、プラン変更時も違約金の対象となります。,"お問い合わせありがとうございます。

はい、最低利用期間がございます。

当社のスリム光サービスは、2年契約の自動更新となっております。
契約期間の満了時以外に解約される場合、以下の違約金が発生いたします。

*   **定額制プラン:** 5,000円
*   **電話のみのプラン:** 2,200円

また、プラン変更をされる場合も違約金の対象となりますので、ご留意ください。",0.896,〇
11,利用休止はできますか？,利用休止はありません。,"お問い合わせいただきありがとうございます。

誠に申し訳ございませんが、お調べしましたが「利用休止」に関する情報が見つかりませんでした。

お客様のご契約状況などを確認のうえでご案内する必要がございますので、お手数ですが、担当窓口まで一度お問い合わせいただけますでしょうか。",0.0,×
12,短期間も利用できますか？,短期間も利用できます。\nただし、契約期間満了時以外の解約の場合は解約金がかかります。,"お問い合わせいただき、ありがとうございます。

ご質問いただいた短期間でのご利用に関しまして、お調べいたしましたが、あいにく関連する情報を見つけることができませんでした。
申し訳ございません。

恐れ入りますが、詳細につきましては担当窓口までお問い合わせいただけますでしょうか。",0.821,〇
13,法人でも申込みはできますか？,個人・法人問わず申込み可能です,"はい、法人様でもお申込みいただけます。

参考情報によりますと、個人名義から法人名義へのご契約変更も可能でございますので、新規のお申込みも法人様の名義で承っております。

お手続きに関してご不明な点がございましたら、お気軽にお尋ねください。",0.784,〇
14,プロバイダー加入は必要ですか？,インターネットをご利用の場合は、必須となります。\nスリム光サービスは、基本的にプロバイダ料金も含まれた価格でございます。\nご利用とともに加入となりますので、ご安心ください。\n※電話のみの場合は、セットに含まれておりません。,"お問い合わせいただきありがとうございます。

恐れ入りますが、いただいた情報の中にご質問に関する内容が見当たらなかったため、一般的なご案内となります。

インターネットをご利用になる場合は、通常、回線のご契約とは別にプロバイダーとのご契約が必要となります。
ただし、ご契約プランによっては回線とプロバイダーが一体となっている場合もございます。

もしよろしければ、お客様のご契約状況を確認いたしますので、担当窓口までお問い合わせいただけますでしょうか。",0.854,〇
15,転用番号はどのようにすればとれますか？,【取得方法】\n・インターネットからのご取得を検討されているお客様\n(西日本在住の方)\nhttps://flets-w.com/collabo/tenyou/entry/ \n(東日本在住の方)\nhttps://flets.com/app4/input/index/ ・電話でご取得を検討されているお客様\n(西日本在住の方)\n0120-553-104\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く)\n\n(東日本在住の方)\n0120-140-202\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く),"お問い合わせいただき、ありがとうございます。

転用番号は、現在ご契約中のNTT東日本またはNTT西日本へお問い合わせいただくことで取得できます。

取得方法は、主にWebサイトからのお手続きと、お電話でのご連絡の2種類がございます。

お手続きの際には、「お客さまID（CAFから始まる番号）」やご契約者様の情報などが必要となりますので、フレッツ光の「開通のご案内」や請求書をお手元にご用意いただくとスムーズです。",0.717,〇
16,事業者変更番号がほしいです、どうすればいいですか？,当社より事業者変更番号を払い出しいたしますので、0120-36-3624までお問合せください。\n\n事業者変更時のトラブルの一例です。(実例)\n・事業者変更後、インターネットが繋がらなくなった。\n・聞いていた料金よりも高額になった。\n当社でできていたサポートが、変更先では受けれなくなった。\・何か事業者側に依頼をするときに、ガイダンスや手間がかかるようになった。\n・当社よりレンタルで提供していたサービスを返却しないといけなくなった。\n・解約金・事業者変更手数料が返金されない、または費用負担があるとは聞いていなかった。\n・事業者変更後、営業担当者と連絡が繋がらなくなった。\n\n事業者変更についてのご案内\n・発行までお時間が要します。\n・ご契約者以外の対応は致しかねます。\n・支払状況により発行致しかねる場合がございます。\n・成りすまし防止のため、期間を開けてご契約者様の固定電話(固定がない場合は、携帯電話)へご連絡し、ご説明後事業者変更番号を発行します。\n\n発行後は、郵送にてお手元に届きます。\n新しく変更される事業者様へご提出ください。,"お問い合わせいただき、ありがとうございます。
事業者変更承諾番号の発行をご希望とのこと、承知いたしました。

お調べいたしましたが、あいにく、ご提示いただいた情報の中には事業者変更承諾番号の発行手続きに関する情報が見つかりませんでした。誠に申し訳ございません。

大変お手数をおかけいたしますが、発行手続きの詳細につきましては、弊社カスタマーサポートの窓口へ直接お問い合わせいただけますでしょうか。担当者より詳しくご案内させていただきます。

どうぞよろしくお願いいたします。",0.0,×
17,IPv6とは何ですか,IPv6とは、インターネットプロトコルの第6版で、IPv4に続く次世代のインターネット通信の規格です。\n\n【IPv6の特徴】\nIPv4と比べてアドレスが128ビットに拡張されており、約340潤(かん)個のIPアドレスが使用可能です。\nIPv4の約43憶個と桁違いの差があり、地球上のあらゆるものをインターネットへ接続できる可能性があります。\nIPv4と比べて通信速度が速くなる可能性があります。\nIPoE方式による接続方式では、帯域幅の広い通信網を経由できるため、回線の混雑を避けることができます。\nIPSec(アイピーセック)という技術が組み込まれているため、セキュリティの改善につながります。,"お問い合わせいただきありがとうございます。

IPv6（アイピーブイシックス）とは、現在主流のIPv4に続く、次世代のインターネット通信規格です。インターネットプロトコルの第6版にあたります。

主な特徴は以下の通りです。

*   **膨大なIPアドレス数**
    IPv4に比べて使用できるIPアドレスの数が桁違いに多く（約340潤(かん)個）、IPアドレスの枯渇問題を解決します。これにより、パソコンやスマートフォンだけでなく、あらゆるものをインターネットに接続できる可能性が広がります。

*   **通信速度の向上**
    「IPoE」という新しい接続方式と組み合わせることで、回線の混雑を避けやすくなり、通信速度が速くなる可能性があります。

*   **セキュリティの改善**
    IPSec（アイピーセック）というセキュリティ技術が標準で組み込まれているため、より安全な通信が期待できます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.903,〇
18,支払い方法を変更したい,請求書払い・口座振替・クレジット支払いの3種類からお選び頂けます。\n\n請求書払い手数料 275円\nご利用頂いた月の翌月中旬頃に毎月お手元に届きます。\n\n口座振替手数料 110円\nご利用頂いた月の翌月27日に引落\n\nクレジット支払い手数料 0円\n\n明細発行手数料 220円となります。,"お問い合わせいただき、ありがとうございます。

申し訳ございませんが、お支払い方法の変更について、ご案内できる情報が見つかりませんでした。
お手数をおかけしますが、詳細につきましては、担当部署へ直接お問い合わせいただけますでしょうか。",0.0,×
19,電話回線の工事はしてもらえますか？,電話回線のみの工事でできます。\nスリムひかり電話ネクスト・スリムひかり電話ネクストAと2種類サービスがございます。\n\n-月額使用料金-\nスリムひかり電話ネクスト 2750円\nスリムひかり電話ネクスト 3850円※1\n税込\n1(ナンバーディスプレイ 440円・ボイスワープ 550円・キャッチホン 330円・迷惑電話お断りサービス 220円・ナンバーリクエスト 220円)\n\n契約期間は2年となり、満了以外の場合は2000円の解約金がかかります。,"お問い合わせいただきありがとうございます。

はい、電話回線の工事を承っております。

当社では、光ファイバーを引き込むための配管工事などの付帯工事も行っております。他社様で工事が難しいと判断された場合でも、対応可能な場合がございますので、お気軽にご相談ください。

詳しい状況をお伺いいたしますので、よろしければ下記までお問い合わせくださいませ。

**【お問い合わせ先】**
0120-36-3624",0.791,〇
20,インターネットの速度が遅いので、改善したいです。,通信速度が遅くなる原因には、機器や回線、電波干渉、接続台数などさまざまな要因が考えられます。\n\n\再起動・Wi-Fiルーターの交換・位置変更・中継器の導入などで改善される場合がございます。\n\n【端末・機器側の問題】\nスマホ(パソコン)のストレージやメモリが不足している\nスマホ(パソコン)のOSがアップデートされていない\nスマホ本体(パソコン)やバッテリー劣化・故障している\n古い機種のスマホ(パソコン)を使っている\n\n【電波干渉の問題】\n電子レンジなどの電波を発する家電やBluetoothとの電波干渉\n5Gの電波が直進性が高いという特性\n電波が届かない\n\n【設定の問題】\nループ接続されている\n\n【接続台数】\nWi-Fiルーターごとに接続台数が決まっており、同時に利用してると通信速度が落ちる傾向がある,"インターネットの速度が遅いとのこと、ご不便をおかけしております。

速度が遅い場合、いくつかの原因が考えられます。
まずはお手数ですが、以下の簡単な対処法をお試しいただけますでしょうか。

1.  **ご利用端末の再起動**
    お使いのパソコンやスマートフォンを一度再起動することで、動作が安定し、速度が改善される場合がございます。

2.  **通信機器の再起動**
    ルーターやONU（光回線終端装置）の電源を一度抜き、数分待ってから再度電源を入れてみてください。機器内部の熱が放出されたり、一時的な不具合が解消されたりすることがあります。

3.  **接続方法の見直し**
    Wi-Fiをご利用の場合、ルーターの近くで接続したり、可能であれば有線（LANケーブル）で接続したりすると速度が改善することがあります。また、同時に接続している端末の数を減らしてみるのも有効です。

これらの方法をお試しいただいても改善しない場合は、より詳細な調査が必要となりますので、お手数ですが担当部署までお問い合わせください。",0.931,〇
21,WiFiルーターが故障しました、どのようにすればいいですか,当社よりレンタル品としてご提供している場合は、交換となります。\n0120-36-3624までお問合せをいただき、代替品を郵送いたします。\n到着後、Wi-FIルーターを交換していただき、故障したWi-Fiルーターを返却袋に入れて当社まで着払いでご返却下さい。\n※自然故障の場合は無料です。,"お問い合わせいただきありがとうございます。
WiFiルーターが故障されたとのこと、ご不便をおかけしております。

当社からレンタルされているWiFiルーターの場合は、交換対応をさせていただきます。
お手数ですが、以下の窓口までご連絡いただけますでしょうか。

**電話番号：0120-36-3624**

ご連絡をいただきましたら、代替品を郵送いたします。
代替品が届きましたら、新しいルーターに交換していただき、故障したルーターは同封の返却袋に入れて着払いでご返送ください。

なお、自然故障の場合は無料で交換いたしますのでご安心ください。
ご不明な点がございましたら、お気軽にお尋ねください。",0.862,〇
22,アンテナではなく光を使ったテレビを利用したい,スリムテレビをご案内いたします。\nスリムテレビとは、NTT東西のフレッツテレビと同等のサービスとなります。\n月額料金 825円で地デジとBSサービスをご利用頂けます。\nご利用頂けるチャンネルは、地域により異なります。\nNTT西日本 参考URL\nhttps://flets-w.com/opt/ftv/terms/channel.html \n\nNTT東日本 参考URL\nhttps://flets.com/ftv/channel.html \n\nご利用頂くには、提供エリアでかつ、対応のルーター・テレビ配線が必要となります。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせありがとうございます。
アンテナの代わりに光回線を利用したテレビサービスをご検討されているのですね。

はい、光回線を利用してテレビをご視聴いただくサービスがございます。
こちらのサービスをご利用いただくと、アンテナが不要になるため建物の外観がすっきりするほか、天候にも左右されにくい安定した映像をお楽しみいただけます。

サービスの詳しい内容や料金、お申し込み方法につきましては、担当部署よりご案内させていただきますので、お手数ですが一度弊社カスタマーサポートまでご連絡いただけますでしょうか。

どうぞよろしくお願いいたします。",0.784,〇
23,セキュリティをいれたい、どのようにすればいいですか,セキュリティですが、用途に合わせごご利用いただくことを推奨いたします。\n\n【アンチウイルスソフト】\nパソコンやスマートフォンの端末側にソフトを導入し、ファイル開封やプログラムの実行といったユーザー行動に伴い、リアルタイムでそれらをスキャンし、悪意のあるプログラムやウイルスの検出・駆除を行います。 感染したファイルはアンチウイルスによって速やかに隔離し、他端末やシステムへの感染拡大を防ぐことが可能です。\nご利用台数分の費用と設定が必要となります。\n\n【UTM】\n複数のセキュリティ機能を1つの機器で運用管理できるため、コストやネットワーク担当者の負担が軽減します。\n導入が容易で、工事などの必要がなく、いくつものセキュリティ製品を個別に導入するよりも短時間で導入でき、ネットワーク管理の一元化を実現でき、業務に関係のないサイトやコンテンツへのアクセスをブロックしたり、不正な通信を検知して遮断したりできます。,"お問い合わせいただき、ありがとうございます。
セキュリティ対策についてですね。

誠に恐れ入りますが、「セキュリティを入れたい」というご要望には、例えばお使いのパソコンに導入するウイルス対策ソフトのことや、特定のサービスに関するセキュリティ設定のことなど、さまざまなケースが考えられます。

お手数ですが、どのような機器やサービスに関するセキュリティ対策をご希望か、もう少し詳しく教えていただけますでしょうか。

もし、会社で推奨しているセキュリティソフトや全社的なルールについてお知りになりたい場合は、情報システム部門など担当部署へご確認いただくことをお勧めいたします。",0.845,〇
24,WiFiの電波が弱い,【原因】\nWi-Fiルーターや端末の設置場所や向きが不適切\n電波干渉や障害物がある\n回線が混雑している\nWi-Fiルーターや端末に不具合がある\nWi-Fiの周波数帯が2.4GHz帯で、電子レンジなどの電波干渉を受けている\n\n【対処法】\nWi-Fiルーターや端末を再起動する\nWi-Fiルーターの設置場所や向きを変える\nWi-Fiの周波数帯を5GHz帯に変更する\n回線が混雑する時間帯を避ける\nWi-Fiルーターの制御プログラムである「ファームウェア」を最新版にアップデートする\nWi-Fiルーターや端末を買い替える\n中継器を設置する\nメッシュWi-Fiを導入するなどになります。,"お問い合わせいただきありがとうございます。
WiFiの電波が弱いとのこと、ご不便をおかけしております。

電波が弱くなる原因としては、Wi-Fiルーターの設置場所、周囲の障害物、他の電化製品からの電波干渉などが考えられます。

お手数ですが、以下の対処法をお試しいただけますでしょうか。

*   **Wi-Fiルーターや端末の再起動**
    まず、Wi-Fiルーターと、お使いのパソコンやスマートフォンを再起動してみてください。これだけで改善することがございます。

*   **Wi-Fiルーターの設置場所や向きを変える**
    家の中心や床から少し高い場所、周りに障害物が少ない場所への設置をおすすめします。

*   **Wi-Fiの周波数帯を5GHz帯に変更する**
    5GHz帯は、電子レンジなど他の家電からの電波干渉を受けにくいため、通信が安定する可能性があります。

これらの方法で改善しない場合は、Wi-Fiルーターのファームウェアを最新版にアップデートしたり、電波をより遠くまで届ける「中継器」を設置したりする方法も有効です。

ご不明な点がございましたら、お気軽にお声がけください。",0.8,〇
25,別の事業者で光を申込したが配管がなく、工事ができないといわれた。それでも工事はできますか,可能な場合がございます。\n当社では、光ファイバーを入線するための付帯工事を積極的に行っております。\nまずは0120-36-3624までご相談ください。,"お問い合わせいただきありがとうございます。
他社様で配管がなく、工事ができなかったとのこと、ご心配をおかけしております。

当社では、光ファイバーを引き込むための配管工事といった付帯工事も承っておりますので、ご対応できる可能性がございます。

詳しい状況をお伺いした上でご案内いたしますので、お手数ですが、以下の窓口までお気軽にお問い合わせいただけますでしょうか。

【お問い合わせ窓口】
電話番号: 0120-36-3624

ご連絡を心よりお待ちしております。",0.839,〇
26,電話機を3つ以上使いたい、どのようにすればいいですか,電話機を3台同時以上ご利用頂くには、ビジネスホンをご検討ください。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせありがとうございます。
電話機を3台以上ご利用になりたいとのこと、承知いたしました。

電話機を3台以上で同時に通話される場合には、ビジネスホンの導入をご検討いただく方法がございます。

また、ひかり電話をご利用の場合、同時に通話できる台数はご契約の「チャネル数」によって決まります。例えば、3台同時に通話するためには3チャネルのお申し込みが必要となります。

お客様のご利用状況に合わせて最適なご提案をさせていただきますので、詳しいご案内やお手続きにつきましては、お手数ですが下記窓口までお問い合わせください。

**お問い合わせ窓口**
電話番号: 0120-36-3624

どうぞお気軽にご相談ください。",0.811,〇
27,ナンバーディスプレイを申込したい,ナンバーディスプレイ 440円\n登録事務手数料 2200円\n申込後、3日後(土日祝を除く)からサービスをご利用頂けます。\nご利用にはナンバーディスプレイ対応の電話機が必要です。,"お問い合わせいただきありがとうございます。
ナンバーディスプレイのお申し込みですね。

誠に恐れ入りますが、ナンバーディスプレイのお申し込み手続きにつきましては、弊社サポート窓口にて承っております。
お手数をおかけいたしますが、サポート窓口まで直接ご連絡いただけますでしょうか。

何卒よろしくお願い申し上げます。",0.846,〇
28,転送電話を申込したい,転送料金 550円\n登録事務手数料 2200円\n申込後、3日後(土日祝を除く)からサービスをご利用頂けます。\n転送をご利用頂くには、設定が必要になります。\n詳しくは「転送設定」を検索頂くか、0120-36-3624までお問い合わせくださいませ。,"お問い合わせありがとうございます。
転送電話のお申し込みをご希望とのこと、承知いたしました。

大変申し訳ございませんが、お申し込みの具体的な手続きに関する情報が見当たらなかったのですが、ご契約後にご利用いただける転送電話（ボイスワープ）の設定方法についてご案内いたします。

こちらは、かかってきた電話をあらかじめ登録した別の電話番号へ転送するサービスで、設定はお使いの電話機から簡単に行えます。

### **【主な設定手順】**

1.  **転送先の電話番号を登録する**
    「142」に発信し、音声ガイダンスに従って「2」を押し、転送させたい電話番号を登録します。

2.  **転送を開始する**
    再度「142」に発信し、ガイダンスに従って「1」を押します。その後、すぐ転送する「無条件転送」か、応答がない時だけ転送する「無応答時転送」かを選択することで、転送が開始されます。

3.  **転送を停止する**
    転送を止めたい場合は、「142」に発信し、ガイダンスに従って「0」を押してください。

大変恐縮ですが、お申し込み方法の詳細につきましては、担当窓口へご確認いただけますようお願いいたします。",0.831,〇
29,新しく電話番号を申込したい,月額料金 番号毎 110円\n登録事務手数料 2200円\n申込後、新規で発番した電話番号をご案内します。\n番号決定後、7日後(土日祝を除く)からサービスをご利用頂けます。\n※なり分け設定が必要な場合がございます。\n詳しくは0120-36-3624までご連絡ください。,"新しい電話番号のお申し込みをご検討いただき、ありがとうございます。

お申し込み方法の詳細につきましては、専門の担当者がご案内させていただきますので、お手数ではございますが、以下の窓口までお気軽にお問い合わせくださいませ。

【お問い合わせ窓口】
電話番号：0120-36-3624",0.899,〇
30,キャッチホンを申込したい,申込後、設定せずご利用頂けます。\n月額料金 330円\n登録事務手数料 2200円\n申込後、3日後(土日祝除く)からサービスをご利用頂けます。\n特に設定などは必要ありませんが、電話機の機能でキャッチホンがない場合はご利用できません。\n詳しくは電話機のメーカーにお問い合わせくださいませ。,"お問い合わせいただきありがとうございます。

申し訳ございません。キャッチホンのお申し込み方法につきまして、お調べいたしましたが、ご案内できる情報が見つかりませんでした。

お手数をおかけいたしますが、詳細につきましては、担当部署へご確認いただけますでしょうか。",0.0,×
31,支払方法を口座振替にしたい,口座振替の登録書類を郵送いたします。\nご記入後、ポストにご投函くださいませ。\n当社受理後、翌月より口座振替に変わります。,"お問い合わせいただき、ありがとうございます。

申し訳ございません。お問い合わせいただいた「支払方法の口座振替への変更」につきまして、お調べしましたが、あいにく関連する情報が見つかりませんでした。

大変お手数をおかけいたしますが、詳細なお手続きにつきましては、経理担当部署まで直接お問い合わせいただけますでしょうか。",0.0,×
32,支払方法をクレジット払いにしたい,クレジットカードの登録URLをショートメールまたはPCに送信します。\n当社委託サイトにクレジットカード登録を行ってください。\n登録後、翌月よりクレジット支払に変わります。,"お問い合わせいただきありがとうございます。
お支払い方法のクレジットカードへのご変更ですね。

申し訳ございません。お調べいたしましたが、お支払い方法の変更に関する具体的なお手続き方法について、こちらの情報からは見つけることができませんでした。

大変お手数をおかけいたしますが、詳細につきましては、担当部署または弊社カスタマーサポートまでお問い合わせいただけますでしょうか。
よろしくお願いいたします。",0.795,〇
33,スリム光サービスのインターネット速度はどのくらいですか,ご利用のサービスのより、速度が異なります。\nスリム光クロスタイプ(マンションタイプ) 10Gbps\nスリム光ギガタイプ(マンションタイプ) 1Gbps\nスリム光マンションタイプ by VDSL 100Mbps,"お問い合わせいただき、ありがとうございます。

「スリム光サービス」のインターネット速度についてお調べいたしましたが、あいにく関連する情報を見つけることができませんでした。
お役に立てず、大変申し訳ございません。

恐れ入りますが、詳細につきましては、担当部署へ直接お問い合わせいただくか、ご契約時の資料をご確認いただけますでしょうか。",0.659,×
34,ビジネスホンの取り扱いはしておりますか,取り扱いしております。\n詳しくは0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただきありがとうございます。

お調べいたしましたが、ビジネスホンの取り扱いに関する情報が見つかりませんでした。
お力になれず、大変申し訳ございません。",0.0,×
35,複合機の取り扱いはしておりますか,取り扱いしております。\n詳しくは0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただき、ありがとうございます。

申し訳ございません。お問い合わせいただいた複合機の取り扱いにつきまして、あいにく関連する情報が見つかりませんでした。

恐れ入りますが、担当部署へご確認いただけますでしょうか。",0.0,×
36,防犯カメラの取り扱いはしておりますか,取り扱いしております。\n屋外用・屋内用やパンチルト対応の機器など様々な取り扱いがあり、セット価格でご提供ができます。\n詳しくは0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただきありがとうございます。

申し訳ございませんが、お問い合わせいただいた防犯カメラの取り扱いにつきまして、あいにく関連する情報が見つかりませんでした。

お手数をおかけいたしますが、詳細につきましては担当部署へご確認いただけますでしょうか。
お力になれず大変恐縮です。",0.0,×
