No,質問,期待回答,実際回答,スコア,判定
10,最低利用期間はありますか？,スリム光サービスの契約期間は、2年契約自動更新型となります。\n満了時以外の解約の場合は、定額制プランは5000円、電話のみのプランは2200円となります。\nまた、プラン変更時も違約金の対象となります。,"お問い合わせいただきありがとうございます。

恐れ入りますが、ご質問いただいた「最低利用期間」に関する情報が見つかりませんでした。
お力になれず申し訳ございません。",0.0,×
11,利用休止はできますか？,利用休止はありません。,"お問い合わせいただきありがとうございます。

申し訳ございません。お問い合わせいただいた「利用休止」に関する情報が見つかりませんでした。

大変恐れ入りますが、お手続きの詳細につきましては、担当窓口へ直接お問い合わせいただけますでしょうか。
お手数をおかけいたしますが、よろしくお願いいたします。",0.0,×
12,短期間も利用できますか？,短期間も利用できます。\nただし、契約期間満了時以外の解約の場合は解約金がかかります。,"お問い合わせありがとうございます。

短期間のご利用についてですね。
申し訳ございませんが、いただいた情報の中に関連する内容が見当たりませんでした。

ご契約期間やプランに関する詳細につきましては、お手数ですが、担当窓口へお問い合わせいただくか、サービスの公式サイトにてご確認いただけますでしょうか。",0.0,×
13,法人でも申込みはできますか？,個人・法人問わず申込み可能です,"お問い合わせいただきありがとうございます。

恐れ入りますが、法人でのお申込みに関する情報が、あいにくこちらでは見つかりませんでした。
せっかくお問い合わせいただいたにもかかわらず、お力になれず申し訳ございません。

お手数ではございますが、詳細につきましては、担当部署へご確認いただけますでしょうか。",0.0,×
14,プロバイダー加入は必要ですか？,インターネットをご利用の場合は、必須となります。\nスリム光サービスは、基本的にプロバイダ料金も含まれた価格でございます。\nご利用とともに加入となりますので、ご安心ください。\n※電話のみの場合は、セットに含まれておりません。,"お問い合わせいただきありがとうございます。

はい、ご自宅で光回線などの固定回線を使ってインターネットをご利用になるためには、原則としてプロバイダーとのご契約が必要となります。

インターネットに接続するには、物理的な通信回線を提供する「回線事業者」（例：NTT東日本・西日本など）と、その回線を使ってインターネットの世界へ接続する役割を担う「プロバイダー」の両方が必要となるためです。

最近では、回線とプロバイダーの契約がセットになったサービスも多くございます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.837,〇
15,転用番号はどのようにすればとれますか？,【取得方法】\n・インターネットからのご取得を検討されているお客様\n(西日本在住の方)\nhttps://flets-w.com/collabo/tenyou/entry/ \n(東日本在住の方)\nhttps://flets.com/app4/input/index/ ・電話でご取得を検討されているお客様\n(西日本在住の方)\n0120-553-104\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く)\n\n(東日本在住の方)\n0120-140-202\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く),"お問い合わせありがとうございます。

転用番号の取得方法についてですね。

転用番号は、現在ご契約中のNTT東日本またはNTT西日本の専用窓口（Webサイトまたはお電話）にて取得することができます。

お住まいのエリアに応じて、以下の窓口へお問い合わせください。

**【Webでのお手続き】**
*   **NTT東日本エリアにお住まいの方**
    [https://flets.com/tenyou/](https://flets.com/tenyou/)
*   **NTT西日本エリアにお住まいの方**
    [https://flets-w.com/collabo/](https://flets-w.com/collabo/)

**【お電話でのお手続き】**
*   **NTT東日本**
    電話番号：0120-140-202
    受付時間：午前9時～午後5時（土日・祝日も受付、年末年始を除く）
*   **NTT西日本**
    電話番号：0120-553-104
    受付時間：午前9時～午後5時（土日・祝日も受付、年末年始を除く）

お手続きの際には、ご契約者様のお名前、お客さまID、ご契約の電話番号などが必要となる場合がございますので、事前にご準備いただくとスムーズです。

ご不明な点がございましたら、お気軽にお尋ねください。",0.731,〇
16,事業者変更番号がほしいです、どうすればいいですか？,当社より事業者変更番号を払い出しいたしますので、0120-36-3624までお問合せください。\n\n事業者変更時のトラブルの一例です。(実例)\n・事業者変更後、インターネットが繋がらなくなった。\n・聞いていた料金よりも高額になった。\n当社でできていたサポートが、変更先では受けれなくなった。\・何か事業者側に依頼をするときに、ガイダンスや手間がかかるようになった。\n・当社よりレンタルで提供していたサービスを返却しないといけなくなった。\n・解約金・事業者変更手数料が返金されない、または費用負担があるとは聞いていなかった。\n・事業者変更後、営業担当者と連絡が繋がらなくなった。\n\n事業者変更についてのご案内\n・発行までお時間が要します。\n・ご契約者以外の対応は致しかねます。\n・支払状況により発行致しかねる場合がございます。\n・成りすまし防止のため、期間を開けてご契約者様の固定電話(固定がない場合は、携帯電話)へご連絡し、ご説明後事業者変更番号を発行します。\n\n発行後は、郵送にてお手元に届きます。\n新しく変更される事業者様へご提出ください。,"お問い合わせありがとうございます。

事業者変更承諾番号は、現在ご契約中の光回線事業者様にて発行のお手続きを行っていただく必要がございます。

事業者様のカスタマーサポートへのお電話や、会員様専用のWebページなどからお手続きいただけるかと存じます。
お手数をおかけしますが、まずはご契約中の事業者様へお問い合わせいただけますでしょうか。

よろしくお願いいたします。",0.847,〇
17,IPv6とは何ですか,IPv6とは、インターネットプロトコルの第6版で、IPv4に続く次世代のインターネット通信の規格です。\n\n【IPv6の特徴】\nIPv4と比べてアドレスが128ビットに拡張されており、約340潤(かん)個のIPアドレスが使用可能です。\nIPv4の約43憶個と桁違いの差があり、地球上のあらゆるものをインターネットへ接続できる可能性があります。\nIPv4と比べて通信速度が速くなる可能性があります。\nIPoE方式による接続方式では、帯域幅の広い通信網を経由できるため、回線の混雑を避けることができます。\nIPSec(アイピーセック)という技術が組み込まれているため、セキュリティの改善につながります。,"お問い合わせありがとうございます。

IPv6（アイピーブイシックス）とは、インターネットに接続するための新しい通信規格（ルール）のことです。「Internet Protocol Version 6」の略称です。

これまで主流だった「IPv4」という古い規格では、インターネットに接続できる機器の数に限りがあり、IPアドレス（インターネット上の住所のようなもの）が足りなくなってきていました。

そこで、IPアドレスをほぼ無限に作成できる新しい規格として「IPv6」が作られました。
IPv6を利用することで、通信の混雑が起こりにくくなり、インターネットの速度が改善されるといったメリットもあります。

ご不明な点がございましたら、お気軽にお尋ねください。",0.816,〇
18,支払い方法を変更したい,請求書払い・口座振替・クレジット支払いの3種類からお選び頂けます。\n\n請求書払い手数料 275円\nご利用頂いた月の翌月中旬頃に毎月お手元に届きます。\n\n口座振替手数料 110円\nご利用頂いた月の翌月27日に引落\n\nクレジット支払い手数料 0円\n\n明細発行手数料 220円となります。,"お問い合わせいただきありがとうございます。
お支払い方法の変更をご希望とのこと、承知いたしました。

申し訳ございませんが、お調べしたところ、私（チャットボット）ではお手続きをご案内するための情報が見つかりませんでした。

お手数をおかけいたしますが、お支払い方法の変更につきましては、担当部署にてご案内させていただきますので、カスタマーサポートまで直接お問い合わせいただけますでしょうか。

何卒よろしくお願い申し上げます。",0.0,×
19,電話回線の工事はしてもらえますか？,電話回線のみの工事でできます。\nスリムひかり電話ネクスト・スリムひかり電話ネクストAと2種類サービスがございます。\n\n-月額使用料金-\nスリムひかり電話ネクスト 2750円\nスリムひかり電話ネクスト 3850円※1\n税込\n1(ナンバーディスプレイ 440円・ボイスワープ 550円・キャッチホン 330円・迷惑電話お断りサービス 220円・ナンバーリクエスト 220円)\n\n契約期間は2年となり、満了以外の場合は2000円の解約金がかかります。,"お問い合わせいただきありがとうございます。

電話回線の工事についてですね。
申し訳ございませんが、私（チャットボット）では工事の手配や、詳細なご案内をすることができかねます。

電話回線の工事につきましては、専門の担当部署、もしくはお客様がご契約されている通信事業者様（NTT東日本・西日本など）へ直接お問い合わせいただく必要がございます。

お手数をおかけいたしますが、ご確認いただけますでしょうか。",0.825,〇
20,インターネットの速度が遅いので、改善したいです。,通信速度が遅くなる原因には、機器や回線、電波干渉、接続台数などさまざまな要因が考えられます。\n\n\再起動・Wi-Fiルーターの交換・位置変更・中継器の導入などで改善される場合がございます。\n\n【端末・機器側の問題】\nスマホ(パソコン)のストレージやメモリが不足している\nスマホ(パソコン)のOSがアップデートされていない\nスマホ本体(パソコン)やバッテリー劣化・故障している\n古い機種のスマホ(パソコン)を使っている\n\n【電波干渉の問題】\n電子レンジなどの電波を発する家電やBluetoothとの電波干渉\n5Gの電波が直進性が高いという特性\n電波が届かない\n\n【設定の問題】\nループ接続されている\n\n【接続台数】\nWi-Fiルーターごとに接続台数が決まっており、同時に利用してると通信速度が落ちる傾向がある,"お問い合わせいただきありがとうございます。
インターネットの速度が遅いとのこと、ご不便をおかけしております。

インターネットの速度が遅くなる原因は様々ですが、いくつかの簡単な方法で改善される場合がございます。
よろしければ、以下の方法をお試しいただけますでしょうか。

*   **機器の再起動**
    ご利用中のルーターやホームゲートウェイ、パソコンやスマートフォンなどの端末を一度再起動していただくと、状況が改善することがあります。電源を切り、数分待ってから再度電源を入れてみてください。

*   **Wi-Fiルーターの設置場所の見直し**
    ルーターを部屋の中心や床から高い位置に置いたり、障害物の少ない場所に移動させたりすることで、電波が届きやすくなる場合があります。

*   **Wi-Fi中継器の利用**
    Wi-Fiルーターから離れた場所でご利用の場合など、電波が弱いことが原因で速度が低下している可能性もございます。その場合は、Wi-Fi中継器を設置することで電波状況が改善されることがあります。
    設定方法の一例として、以下の情報をご参照ください。
    *   参考URL: [TP-Link 中継器の設定方法](https://www.tp-link.com/jp/support/faq/1699/)

これらの方法をお試しいただいても改善が見られない場合は、お手数ですが再度ご連絡ください。",0.873,〇
21,WiFiルーターが故障しました、どのようにすればいいですか,当社よりレンタル品としてご提供している場合は、交換となります。\n0120-36-3624までお問合せをいただき、代替品を郵送いたします。\n到着後、Wi-FIルーターを交換していただき、故障したWi-Fiルーターを返却袋に入れて当社まで着払いでご返却下さい。\n※自然故障の場合は無料です。,"お問い合わせありがとうございます。
Wi-Fiルーターが故障されたとのこと、ご不便をおかけしております。

Wi-Fiルーターの故障や設定に関するご相談につきましては、お電話にて対応させていただいております。
お手数ではございますが、下記のサポート窓口までご連絡いただけますでしょうか。
専門の担当者が状況を詳しくお伺いいたします。

【サポート窓口】
電話番号：0120-36-3624

どうぞよろしくお願いいたします。",0.871,〇
22,アンテナではなく光を使ったテレビを利用したい,スリムテレビをご案内いたします。\nスリムテレビとは、NTT東西のフレッツテレビと同等のサービスとなります。\n月額料金 825円で地デジとBSサービスをご利用頂けます。\nご利用頂けるチャンネルは、地域により異なります。\nNTT西日本 参考URL\nhttps://flets-w.com/opt/ftv/terms/channel.html \n\nNTT東日本 参考URL\nhttps://flets.com/ftv/channel.html \n\nご利用頂くには、提供エリアでかつ、対応のルーター・テレビ配線が必要となります。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせいただき、ありがとうございます。
アンテナの代わりに光回線を利用してテレビを視聴されたいとのこと、承知いたしました。

光回線を使ってテレビを視聴するには、「フレッツ・テレビ」や「ひかりTV」といったテレビ視聴サービスへのお申し込みが必要となります。
これらのサービスをご利用いただくことで、アンテナを設置することなく、地上デジタル放送やBS/CS放送などをお楽しみいただけます。

サービスの詳細やお申し込み方法につきましては、現在ご契約されている光回線事業者様へお問い合わせいただくか、各サービスの公式サイトをご確認くださいますようお願いいたします。",0.802,〇
23,セキュリティをいれたい、どのようにすればいいですか,セキュリティですが、用途に合わせごご利用いただくことを推奨いたします。\n\n【アンチウイルスソフト】\nパソコンやスマートフォンの端末側にソフトを導入し、ファイル開封やプログラムの実行といったユーザー行動に伴い、リアルタイムでそれらをスキャンし、悪意のあるプログラムやウイルスの検出・駆除を行います。 感染したファイルはアンチウイルスによって速やかに隔離し、他端末やシステムへの感染拡大を防ぐことが可能です。\nご利用台数分の費用と設定が必要となります。\n\n【UTM】\n複数のセキュリティ機能を1つの機器で運用管理できるため、コストやネットワーク担当者の負担が軽減します。\n導入が容易で、工事などの必要がなく、いくつものセキュリティ製品を個別に導入するよりも短時間で導入でき、ネットワーク管理の一元化を実現でき、業務に関係のないサイトやコンテンツへのアクセスをブロックしたり、不正な通信を検知して遮断したりできます。,"お問い合わせいただきありがとうございます。

セキュリティ対策をご検討とのこと、承知いたしました。

ご利用のパソコンやスマートフォンをウイルスなどから守るためには、セキュリティソフト（ウイルス対策ソフト）を導入することが一般的です。

また、Wi-Fiルーターのパスワードを複雑なものに設定したり、常に最新の状態に保ったりすることも、ネットワーク全体の安全性を高めるために重要です。

もしよろしければ、どのような機器（パソコン、スマートフォンなど）にセキュリティを導入されたいか、もう少し詳しく教えていただけますでしょうか。より詳しいご案内ができるかと存じます。",0.871,〇
24,WiFiの電波が弱い,【原因】\nWi-Fiルーターや端末の設置場所や向きが不適切\n電波干渉や障害物がある\n回線が混雑している\nWi-Fiルーターや端末に不具合がある\nWi-Fiの周波数帯が2.4GHz帯で、電子レンジなどの電波干渉を受けている\n\n【対処法】\nWi-Fiルーターや端末を再起動する\nWi-Fiルーターの設置場所や向きを変える\nWi-Fiの周波数帯を5GHz帯に変更する\n回線が混雑する時間帯を避ける\nWi-Fiルーターの制御プログラムである「ファームウェア」を最新版にアップデートする\nWi-Fiルーターや端末を買い替える\n中継器を設置する\nメッシュWi-Fiを導入するなどになります。,"Wi-Fiの電波が弱く、お困りのことと存じます。

電波が弱い場合、Wi-Fiルーターの再起動や、設置場所を家の中心、あるいは障害物の少ない場所へ変更することで改善する可能性がございます。

それでも改善しない場合は、電波の届く範囲を広げる**Wi-Fi中継器**の設置が有効です。
もしTP-Link社製の中継器をお持ちでしたら、ルーターと中継器のWPSボタンを押すだけで簡単に設定ができます。

また、Wi-Fiルーター自体の設定を見直すことで改善する場合もございます。
当社のお客様に限り、可能な範囲で設定のサポートも行っておりますので、よろしければ下記窓口までお問い合わせください。

【お問い合わせ窓口】
0120-36-3624

ご自身で設定される場合は、以下の各メーカーのサイトもご参照ください。
【TPLINK】https://www.tp-link.com/jp/support/faq/87/
【NEC】https://www.aterm.jp/support/guide/
【BUFFALO】https://www.buffalo.jp/support/faq/detail/129.html
【ELECOM】https://qa.elecom.co.jp/faq_detail.html?id=4003&category=152
【ASUS】https://www.asus.com/jp/support/faq/1005263/
【I-O DATA】https://www.iodata.jp/support/qanda/answer/s30352.htm

ご不明な点がございましたら、お気軽にお声がけください。",0.726,〇
25,別の事業者で光を申込したが配管がなく、工事ができないといわれた。それでも工事はできますか,可能な場合がございます。\n当社では、光ファイバーを入線するための付帯工事を積極的に行っております。\nまずは0120-36-3624までご相談ください。,"お問い合わせいただきありがとうございます。
他社の事業者さまで工事ができなかったとのこと、ご不便をお察しいたします。

建物の状況にもよりますが、光ケーブルを通すための配管がない場合でも、例えばエアコンのダクト（配管用の穴）を利用したり、壁に小さな穴を開けて直接引き込んだりする方法で工事ができる可能性がございます。

ただし、建物の構造や管理規約（マンションなどの場合）によって工事の可否が異なりますので、実際に現地を拝見させていただく必要がございます。

もしよろしければ、弊社の担当者が現地調査にお伺いし、工事が可能かどうか、またどのような方法があるかを確認させていただくことも可能です。
ご希望の場合は、お手数ですが改めてその旨をお申し付けください。",0.852,〇
26,電話機を3つ以上使いたい、どのようにすればいいですか,電話機を3台同時以上ご利用頂くには、ビジネスホンをご検討ください。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせいただき、ありがとうございます。

一般的なご家庭の電話回線では、接続できる電話機は2台までとされている場合が多く、3台以上接続すると正常に動作しない可能性がございます。

もし3台以上の電話機のご利用をご希望の場合、以下のような方法が考えられます。

1.  **ビジネスフォンを導入する**
    オフィスなどで内線通話や複数人での同時通話を行いたい場合に適しています。

2.  **ご契約の通信事業者のオプションサービスを利用する**
    ひかり電話などをご利用の場合、「複数チャネル」や「追加番号」といったオプションサービスを契約することで、利用できる電話機の数を増やせる場合がございます。

3.  **子機を増設できるコードレス電話機を利用する**
    1つの電話番号を複数の場所で利用したい場合は、親機1台に対して子機を複数台登録できるコードレス電話機も便利です。

恐れ入りますが、お客様のご利用環境やご契約状況によって最適な方法が異なりますので、詳細につきましては、ご契約の通信事業者様へ一度お問い合わせいただくことをお勧めいたします。",0.809,〇
27,ナンバーディスプレイを申込したい,ナンバーディスプレイ 440円\n登録事務手数料 2200円\n申込後、3日後(土日祝を除く)からサービスをご利用頂けます。\nご利用にはナンバーディスプレイ対応の電話機が必要です。,"お問い合わせいただきありがとうございます。

ナンバーディスプレイのお申し込みにつきましては、お客様がご契約されている電話サービスの提供会社（例：NTT東日本/西日本、auひかり、ソフトバンク光など）にてお手続きいただく必要がございます。

誠に恐れ入りますが、ご利用の通信事業者のウェブサイトやお客様サポートセンターにて、お申し込み方法をご確認いただけますでしょうか。

どうぞよろしくお願いいたします。",0.848,〇
28,転送電話を申込したい,転送料金 550円\n登録事務手数料 2200円\n申込後、3日後(土日祝を除く)からサービスをご利用頂けます。\n転送をご利用頂くには、設定が必要になります。\n詳しくは「転送設定」を検索頂くか、0120-36-3624までお問い合わせくださいませ。,"お問い合わせいただきありがとうございます。

申し訳ございませんが、ご質問いただいた転送電話のお申し込み方法に関する情報が見つかりませんでした。

お手数をおかけいたしますが、詳細につきましては、電話設備を管轄している部署（総務部や情報システム部など）へ直接ご確認いただけますでしょうか。",0.0,×
29,新しく電話番号を申込したい,月額料金 番号毎 110円\n登録事務手数料 2200円\n申込後、新規で発番した電話番号をご案内します。\n番号決定後、7日後(土日祝を除く)からサービスをご利用頂けます。\n※なり分け設定が必要な場合がございます。\n詳しくは0120-36-3624までご連絡ください。,"お問い合わせいただきありがとうございます。

申し訳ございません。新しい電話番号のお申し込み方法に関する情報を見つけることができませんでした。
お手数をおかけしますが、担当部署へご確認いただけますでしょうか。",0.843,〇
30,キャッチホンを申込したい,申込後、設定せずご利用頂けます。\n月額料金 330円\n登録事務手数料 2200円\n申込後、3日後(土日祝除く)からサービスをご利用頂けます。\n特に設定などは必要ありませんが、電話機の機能でキャッチホンがない場合はご利用できません。\n詳しくは電話機のメーカーにお問い合わせくださいませ。,"お問い合わせいただき、ありがとうございます。
キャッチホンのお申し込みについてですね。

恐れ入りますが、キャッチホンのお申し込みは、お客様が現在ご利用の電話サービスを提供している通信事業者にてお手続きいただく必要がございます。

例として、NTT東日本・西日本様や、ひかり電話をご契約の場合はご利用中のプロバイダ様などが該当いたします。

お手数ではございますが、ご契約の通信事業者のウェブサイトやお客様サポート窓口にて、お申し込み方法をご確認いただけますでしょうか。
よろしくお願いいたします。",0.865,〇
