No,質問,期待回答,実際回答,スコア,判定
10,最低利用期間はありますか？,スリム光サービスの契約期間は、2年契約自動更新型となります。\n満了時以外の解約の場合は、定額制プランは5000円、電話のみのプランは2200円となります。\nまた、プラン変更時も違約金の対象となります。,"お問い合わせいただきありがとうございます。

申し訳ございませんが、お調べいたしましたが、「最低利用期間」に関する情報が見つかりませんでした。

恐れ入りますが、詳細につきましては担当部署、またはサポート窓口まで直接お問い合わせいただけますでしょうか。

お手数をおかけいたしますが、よろしくお願い申し上げます。",0.0,×
11,利用休止はできますか？,利用休止はありません。,"お問い合わせいただきありがとうございます。

誠に申し訳ございませんが、お調べいたしましたが、「利用休止」に関する情報が見つかりませんでした。

お手数をおかけいたしますが、詳細につきましてはサポート担当までお問い合わせいただけますでしょうか。",0.0,×
12,短期間も利用できますか？,短期間も利用できます。\nただし、契約期間満了時以外の解約の場合は解約金がかかります。,"お問い合わせいただきありがとうございます。
短期間のご利用についてですね。

申し訳ございません。お調べいたしましたが、あいにく短期間のご利用に関する情報を見つけることができませんでした。

お客様のご希望の期間など、詳細をお伺いした上でご案内できるかと存じますので、お手数ではございますが、担当窓口までお問い合わせいただけますでしょうか。

ご不便をおかけいたしますが、何卒よろしくお願い申し上げます。",0.81,〇
13,法人でも申込みはできますか？,個人・法人問わず申込み可能です,"はい、法人様でもお申し込みいただけます。

個人契約から法人契約への名義変更なども承っておりますので、ご安心ください。",0.815,〇
14,プロバイダー加入は必要ですか？,インターネットをご利用の場合は、必須となります。\nスリム光サービスは、基本的にプロバイダ料金も含まれた価格でございます。\nご利用とともに加入となりますので、ご安心ください。\n※電話のみの場合は、セットに含まれておりません。,"お問い合わせいただきありがとうございます。

はい、インターネットをご利用いただくためには、通常、回線契約とは別にプロバイダーとのご契約が必要でございます。

インターネットに接続するためには、「回線（道路）」と、その回線をインターネットの世界に繋ぐ「プロバイダー（出入口）」の両方が必要とお考えいただくと分かりやすいかもしれません。

サービスによっては回線とプロバイダーが一体となっているプランもございます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.877,〇
15,転用番号はどのようにすればとれますか？,【取得方法】\n・インターネットからのご取得を検討されているお客様\n(西日本在住の方)\nhttps://flets-w.com/collabo/tenyou/entry/ \n(東日本在住の方)\nhttps://flets.com/app4/input/index/ ・電話でご取得を検討されているお客様\n(西日本在住の方)\n0120-553-104\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く)\n\n(東日本在住の方)\n0120-140-202\n受付時間 9:00〜17:00 土日・祝日も営業(年末年始を除く),"お問い合わせありがとうございます。
転用番号の取得方法についてですね。

恐れ入りますが、いただきました情報の中には転用番号の取得方法に関する記載がございませんでした。

一般的に、転用番号はNTT東日本またはNTT西日本の窓口で取得することができます。
お手数ですが、NTT東日本・西日本の公式サイトをご覧いただくか、専用の電話窓口へ直接お問い合わせくださいますようお願いいたします。

お手続きの際には、フレッツ光のお客様IDやご契約者様のお名前などが必要になる場合がございますので、事前にご準備いただくとスムーズです。

その他、ご不明な点がございましたらお気軽にお尋ねください。",0.739,〇
16,事業者変更番号がほしいです、どうすればいいですか？,当社より事業者変更番号を払い出しいたしますので、0120-36-3624までお問合せください。\n\n事業者変更時のトラブルの一例です。(実例)\n・事業者変更後、インターネットが繋がらなくなった。\n・聞いていた料金よりも高額になった。\n当社でできていたサポートが、変更先では受けれなくなった。\・何か事業者側に依頼をするときに、ガイダンスや手間がかかるようになった。\n・当社よりレンタルで提供していたサービスを返却しないといけなくなった。\n・解約金・事業者変更手数料が返金されない、または費用負担があるとは聞いていなかった。\n・事業者変更後、営業担当者と連絡が繋がらなくなった。\n\n事業者変更についてのご案内\n・発行までお時間が要します。\n・ご契約者以外の対応は致しかねます。\n・支払状況により発行致しかねる場合がございます。\n・成りすまし防止のため、期間を開けてご契約者様の固定電話(固定がない場合は、携帯電話)へご連絡し、ご説明後事業者変更番号を発行します。\n\n発行後は、郵送にてお手元に届きます。\n新しく変更される事業者様へご提出ください。,"お問い合わせいただき、ありがとうございます。
事業者変更承諾番号の発行をご希望とのこと、承知いたしました。

恐れ入りますが、事業者変更承諾番号の発行手続きにつきましては、お電話または会員さま専用サイトにて承っております。

大変お手数をおかけいたしますが、弊社カスタマーサポートまでご連絡いただけますでしょうか。
ご本人様確認後、番号を発行させていただきます。

ご不明な点がございましたら、お気軽にお尋ねください。",0.816,〇
17,IPv6とは何ですか,IPv6とは、インターネットプロトコルの第6版で、IPv4に続く次世代のインターネット通信の規格です。\n\n【IPv6の特徴】\nIPv4と比べてアドレスが128ビットに拡張されており、約340潤(かん)個のIPアドレスが使用可能です。\nIPv4の約43憶個と桁違いの差があり、地球上のあらゆるものをインターネットへ接続できる可能性があります。\nIPv4と比べて通信速度が速くなる可能性があります。\nIPoE方式による接続方式では、帯域幅の広い通信網を経由できるため、回線の混雑を避けることができます。\nIPSec(アイピーセック)という技術が組み込まれているため、セキュリティの改善につながります。,"ご質問ありがとうございます。

IPv6（アイピーブイシックス）とは、インターネットプロトコルの第6版で、現在広く使われているIPv4に続く、次世代のインターネット通信規格です。

主な特徴として、以下の3点が挙げられます。

*   **膨大なアドレス数**:
    IPv4のアドレスが約43億個であるのに対し、IPv6では約340潤（かん）個という桁違いに多いIPアドレスが利用可能です。これにより、あらゆる機器をインターネットに接続できる可能性が広がります。

*   **通信速度の向上**:
    「IPoE」という新しい接続方式を利用することで、混雑しにくい広い帯域の通信網を経由できるため、通信速度が速くなる可能性があります。

*   **セキュリティの改善**:
    「IPSec（アイピーセック）」という暗号化技術が標準で組み込まれているため、通信の安全性が向上します。

ご不明な点がございましたら、お気軽にお尋ねください。",0.933,〇
18,支払い方法を変更したい,請求書払い・口座振替・クレジット支払いの3種類からお選び頂けます。\n\n請求書払い手数料 275円\nご利用頂いた月の翌月中旬頃に毎月お手元に届きます。\n\n口座振替手数料 110円\nご利用頂いた月の翌月27日に引落\n\nクレジット支払い手数料 0円\n\n明細発行手数料 220円となります。,"お問い合わせいただき、ありがとうございます。
お支払い方法の変更をご希望とのこと、承知いたしました。

申し訳ございません。お調べいたしましたが、いただいた情報の中には、お支払い方法の変更に関する具体的なご案内が見つかりませんでした。

大変恐れ入りますが、詳細な手続きにつきましては、担当部署へ直接お問い合わせいただけますでしょうか。
お手数をおかけいたしますが、何卒よろしくお願い申し上げます。",0.0,×
19,電話回線の工事はしてもらえますか？,電話回線のみの工事でできます。\nスリムひかり電話ネクスト・スリムひかり電話ネクストAと2種類サービスがございます。\n\n-月額使用料金-\nスリムひかり電話ネクスト 2750円\nスリムひかり電話ネクスト 3850円※1\n税込\n1(ナンバーディスプレイ 440円・ボイスワープ 550円・キャッチホン 330円・迷惑電話お断りサービス 220円・ナンバーリクエスト 220円)\n\n契約期間は2年となり、満了以外の場合は2000円の解約金がかかります。,"お問い合わせいただきありがとうございます。

はい、電話回線の工事も承っております。

他社様にて工事ができないと判断された場合などでも、当社では光ファイバーを引き込むための配管工事といった付帯工事も行っております。

お客様の状況に合わせてご案内いたしますので、詳細につきましては、お手数ですが下記窓口までお気軽にお問い合わせください。

【お問い合わせ窓口】
0120-36-3624",0.777,〇
20,インターネットの速度が遅いので、改善したいです。,通信速度が遅くなる原因には、機器や回線、電波干渉、接続台数などさまざまな要因が考えられます。\n\n\再起動・Wi-Fiルーターの交換・位置変更・中継器の導入などで改善される場合がございます。\n\n【端末・機器側の問題】\nスマホ(パソコン)のストレージやメモリが不足している\nスマホ(パソコン)のOSがアップデートされていない\nスマホ本体(パソコン)やバッテリー劣化・故障している\n古い機種のスマホ(パソコン)を使っている\n\n【電波干渉の問題】\n電子レンジなどの電波を発する家電やBluetoothとの電波干渉\n5Gの電波が直進性が高いという特性\n電波が届かない\n\n【設定の問題】\nループ接続されている\n\n【接続台数】\nWi-Fiルーターごとに接続台数が決まっており、同時に利用してると通信速度が落ちる傾向がある,"インターネットの速度が遅いとのこと、ご不便をおかけしております。

速度が遅い場合、まずはお使いの通信機器を再起動することで改善されることがございます。
以下の手順でお試しいただけますでしょうか。

**【通信機器の再起動手順】**
1. ご利用のパソコンやスマートフォンの電源をお切りください。
2. 次に、Wi-Fiルーターの電源アダプターをコンセントから抜きます。
3. 最後に、ONU（光回線終端装置）の電源アダプターを抜きます。
4. 2〜3分ほどお待ちいただいた後、ONU → Wi-Fiルーター → パソコン・スマートフォンの順で電源を入れ直してください。

もし再起動しても改善されない場合は、以下のような点もご確認いただけますと幸いです。

*   **Wi-Fiルーターと端末の距離や障害物**
    ルーターとご利用端末の間に壁などの障害物がないか、距離が離れすぎていないかご確認ください。
*   **有線接続を試す**
    可能であれば、LANケーブルで直接接続し、速度が改善されるかお試しください。

上記の方法でも解決しない場合は、より詳しい状況をお伺いする必要がございますので、お手数ですが、担当部署へお問い合わせください。",0.937,〇
21,WiFiルーターが故障しました、どのようにすればいいですか,当社よりレンタル品としてご提供している場合は、交換となります。\n0120-36-3624までお問合せをいただき、代替品を郵送いたします。\n到着後、Wi-FIルーターを交換していただき、故障したWi-Fiルーターを返却袋に入れて当社まで着払いでご返却下さい。\n※自然故障の場合は無料です。,"お問い合わせありがとうございます。
Wi-Fiルーターの故障とのこと、ご不便をおかけしております。

当社からレンタルされているWi-Fiルーターが故障した場合は、交換対応をさせていただきます。

お手数ですが、まずは下記サポート窓口までご連絡ください。代替品を郵送いたします。

**電話番号: 0120-36-3624**

代替品が届きましたら、新しいルーターに交換していただき、故障したルーターは同封の返却袋に入れて着払いにてご返送ください。

なお、自然故障の場合は無料で交換いたしますのでご安心ください。",0.853,〇
22,アンテナではなく光を使ったテレビを利用したい,スリムテレビをご案内いたします。\nスリムテレビとは、NTT東西のフレッツテレビと同等のサービスとなります。\n月額料金 825円で地デジとBSサービスをご利用頂けます。\nご利用頂けるチャンネルは、地域により異なります。\nNTT西日本 参考URL\nhttps://flets-w.com/opt/ftv/terms/channel.html \n\nNTT東日本 参考URL\nhttps://flets.com/ftv/channel.html \n\nご利用頂くには、提供エリアでかつ、対応のルーター・テレビ配線が必要となります。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせいただきありがとうございます。
アンテナの代わりに光回線を利用したテレビサービスをご希望とのこと、承知いたしました。

あいにく、お尋ねいただいた内容に関する情報が手元にございませんでした。
一般的に、光回線を利用したテレビサービスは、アンテナを設置する必要がなく、天候にも左右されにくい安定した映像をお楽しみいただけるという利点がございます。

サービスの提供状況や詳しい内容につきましては、担当部署にて確認し、ご案内させていただきます。お手数ですが、担当の者にお繋ぎしてもよろしいでしょうか。",0.787,〇
23,セキュリティをいれたい、どのようにすればいいですか,セキュリティですが、用途に合わせごご利用いただくことを推奨いたします。\n\n【アンチウイルスソフト】\nパソコンやスマートフォンの端末側にソフトを導入し、ファイル開封やプログラムの実行といったユーザー行動に伴い、リアルタイムでそれらをスキャンし、悪意のあるプログラムやウイルスの検出・駆除を行います。 感染したファイルはアンチウイルスによって速やかに隔離し、他端末やシステムへの感染拡大を防ぐことが可能です。\nご利用台数分の費用と設定が必要となります。\n\n【UTM】\n複数のセキュリティ機能を1つの機器で運用管理できるため、コストやネットワーク担当者の負担が軽減します。\n導入が容易で、工事などの必要がなく、いくつものセキュリティ製品を個別に導入するよりも短時間で導入でき、ネットワーク管理の一元化を実現でき、業務に関係のないサイトやコンテンツへのアクセスをブロックしたり、不正な通信を検知して遮断したりできます。,"お問い合わせいただき、ありがとうございます。
セキュリティ対策をご希望とのこと、承知いたしました。

セキュリティ対策には、ウイルス対策ソフトの導入や、お使いのパソコン・スマートフォンのOSを常に最新の状態に保つといった方法がございます。

もし、会社で推奨されているセキュリティソフトの導入や設定方法についてお知りになりたい場合は、専門の部署でのご案内となります。
お手数ですが、情報システム部までお問い合わせいただけますでしょうか。

その他ご不明な点がございましたら、お気軽にお尋ねください。",0.845,〇
24,WiFiの電波が弱い,【原因】\nWi-Fiルーターや端末の設置場所や向きが不適切\n電波干渉や障害物がある\n回線が混雑している\nWi-Fiルーターや端末に不具合がある\nWi-Fiの周波数帯が2.4GHz帯で、電子レンジなどの電波干渉を受けている\n\n【対処法】\nWi-Fiルーターや端末を再起動する\nWi-Fiルーターの設置場所や向きを変える\nWi-Fiの周波数帯を5GHz帯に変更する\n回線が混雑する時間帯を避ける\nWi-Fiルーターの制御プログラムである「ファームウェア」を最新版にアップデートする\nWi-Fiルーターや端末を買い替える\n中継器を設置する\nメッシュWi-Fiを導入するなどになります。,"お問い合わせいただきありがとうございます。
Wi-Fiの電波が弱いとのこと、ご不便をおかけしております。

電波が弱くなる原因としては、Wi-Fiルーターの設置場所、電波干渉、回線の混雑、機器の不具合などが考えられます。

つきましては、お手数ですが以下の対処法をお試しいただけますでしょうか。

*   **Wi-Fiルーターや端末の再起動**
    まずはお使いのWi-Fiルーターと、スマートフォンやパソコンなどの端末を再起動してみてください。一時的な不具合が解消される場合があります。

*   **Wi-Fiルーターの設置場所や向きを変える**
    ルーターを床や棚の奥ではなく、なるべく家の中心や少し高い場所に置くと電波が届きやすくなります。

*   **Wi-Fiの周波数帯を5GHz帯に変更する**
    2.4GHz帯は電子レンジなど他の家電と電波が干渉することがあります。5GHz帯に変更することで、通信が安定する可能性があります。

それでも改善しない場合は、Wi-Fiルーターの制御プログラムである「ファームウェア」を最新版にアップデートしたり、電波を広げるための中継器を設置したりする方法も有効です。

これらの方法をお試しいただいても状況が改善しない場合は、お手数ですが再度ご相談ください。",0.808,〇
25,別の事業者で光を申込したが配管がなく、工事ができないといわれた。それでも工事はできますか,可能な場合がございます。\n当社では、光ファイバーを入線するための付帯工事を積極的に行っております。\nまずは0120-36-3624までご相談ください。,"お問い合わせいただき、ありがとうございます。
他社様で配管がなく工事ができなかったとのこと、ご心配のことと存じます。

当社では、光ファイバーを引き込むための配管工事といった付帯工事も行っておりますので、対応できる可能性がございます。

詳しい状況をお伺いしたうえでご案内させていただきますので、お手数ですが、以下の窓口までお気軽にお問い合わせください。

【お問い合わせ窓口】
電話番号: 0120-36-3624

ご連絡をお待ちしております。",0.846,〇
26,電話機を3つ以上使いたい、どのようにすればいいですか,電話機を3台同時以上ご利用頂くには、ビジネスホンをご検討ください。\n詳しくは0120-36-3624までお問い合わせください。,"お問い合わせいただきありがとうございます。

お調べいたしましたが、ご質問いただいた内容に関する情報が見つかりませんでした。

一般的に、電話機を3台以上ご利用になるには、ご契約プランの変更やオプションサービスの追加などが必要となる可能性がございます。

お客様のご利用状況によって最適な方法をご案内させていただきますので、誠に恐れ入りますが、詳細につきましては担当部署またはサポート窓口までお問い合わせいただけますでしょうか。",0.0,×
27,ナンバーディスプレイを申込したい,ナンバーディスプレイ 440円\n登録事務手数料 2200円\n申込後、3日後(土日祝を除く)からサービスをご利用頂けます。\nご利用にはナンバーディスプレイ対応の電話機が必要です。,"お問い合わせいただき、ありがとうございます。

申し訳ございませんが、お調べいたしましたが、ナンバーディスプレイのお申し込みに関する情報が見つかりませんでした。

大変お手数をおかけいたしますが、詳細につきましては、担当部署へ直接お問い合わせいただけますでしょうか。",0.0,×
28,転送電話を申込したい,転送料金 550円\n登録事務手数料 2200円\n申込後、3日後(土日祝を除く)からサービスをご利用頂けます。\n転送をご利用頂くには、設定が必要になります。\n詳しくは「転送設定」を検索頂くか、0120-36-3624までお問い合わせくださいませ。,"お問い合わせありがとうございます。

転送電話のお申込みをご希望とのこと、承知いたしました。

誠に申し訳ございませんが、お調べしましたところ、お申込み方法に関する具体的な情報が見つかりませんでした。
お手数をおかけいたしますが、お申込みの詳細につきましては、担当部署へご確認いただけますでしょうか。

もしよろしければ、ご契約後の設定方法について参考までにご案内いたします。

***

### 転送電話（ボイスワープ）の設定方法

主に、かかってきた電話をすべて転送する「無条件転送」と、電話に出られないときだけ転送する「無応答時転送」の2種類がございます。

**【手順1】 転送先電話番号を登録する**
`142`に発信し、音声ガイダンスに従って転送先の電話番号を登録してください。

**【手順2】 呼び出し回数を設定する（無応答時転送の場合）**
`142`に発信し、ガイダンスに従って、転送されるまでの呼び出し回数を0～9回で設定します。

**【手順3】 転送を開始する**
`142`に発信し、ガイダンスに従って以下のいずれかを選択してください。
*   **無条件転送の場合**： `1` → `1`
*   **無応答時転送の場合**： `1` → `2`

**【手順4】 転送を停止する**
`142`に発信し、ガイダンスに従って `0` を選択すると転送を停止できます。

***

ご不便をおかけして申し訳ございませんが、何卒よろしくお願い申し上げます。",0.0,×
29,新しく電話番号を申込したい,月額料金 番号毎 110円\n登録事務手数料 2200円\n申込後、新規で発番した電話番号をご案内します。\n番号決定後、7日後(土日祝を除く)からサービスをご利用頂けます。\n※なり分け設定が必要な場合がございます。\n詳しくは0120-36-3624までご連絡ください。,"お問い合わせありがとうございます。
新しい電話番号のお申し込みですね。

お調べいたしましたが、あいにく新しい電話番号のお申し込み手続きに関する詳しい情報を見つけることができませんでした。
大変申し訳ございません。

お手数をおかけいたしますが、詳細につきましては担当部署へ直接お問い合わせいただけますでしょうか。
よろしくお願いいたします。",0.82,〇
30,キャッチホンを申込したい,申込後、設定せずご利用頂けます。\n月額料金 330円\n登録事務手数料 2200円\n申込後、3日後(土日祝除く)からサービスをご利用頂けます。\n特に設定などは必要ありませんが、電話機の機能でキャッチホンがない場合はご利用できません。\n詳しくは電話機のメーカーにお問い合わせくださいませ。,"お問い合わせいただきありがとうございます。

キャッチホンのお申し込みをご希望とのこと、承知いたしました。

申し訳ございませんが、お調べしましたところ、キャッチホンのお申し込みに関する情報が見つかりませんでした。

大変恐れ入りますが、お申し込み方法の詳細につきましては、担当窓口へ直接お問い合わせいただけますでしょうか。
お手数をおかけいたしますが、何卒よろしくお願い申し上げます。",0.0,×
31,支払方法を口座振替にしたい,口座振替の登録書類を郵送いたします。\nご記入後、ポストにご投函くださいませ。\n当社受理後、翌月より口座振替に変わります。,"お問い合わせいただき、ありがとうございます。
お支払い方法を口座振替に変更されたいとのこと、承知いたしました。

誠に申し訳ございませんが、お調べしたところ、お支払い方法の変更手続きに関する情報が見つかりませんでした。

大変恐れ入りますが、詳しいお手続き方法につきましては、お手数ですが弊社カスタマーサポートまで直接お問い合わせいただけますでしょうか。

お手数をおかけいたしますが、何卒よろしくお願い申し上げます。",0.0,×
32,支払方法をクレジット払いにしたい,クレジットカードの登録URLをショートメールまたはPCに送信します。\n当社委託サイトにクレジットカード登録を行ってください。\n登録後、翌月よりクレジット支払に変わります。,"お問い合わせいただきありがとうございます。

お支払い方法のクレジットカード払いへのご変更ですね。

お調べいたしましたが、お支払い方法の変更に関する情報が見つかりませんでした。
誠に申し訳ございません。

大変お手数をおかけいたしますが、お手続きの詳細につきましては、担当部署へ直接お問い合わせいただけますでしょうか。",0.0,×
33,スリム光サービスのインターネット速度はどのくらいですか,ご利用のサービスのより、速度が異なります。\nスリム光クロスタイプ(マンションタイプ) 10Gbps\nスリム光ギガタイプ(マンションタイプ) 1Gbps\nスリム光マンションタイプ by VDSL 100Mbps,"お問い合わせいただき、ありがとうございます。

申し訳ございません。ご質問いただいたスリム光サービスのインターネット速度に関する情報が、いただいた参考情報の中に見当たりませんでした。

一般的に、光回線の通信速度はご契約のプランやご利用環境によって異なります。
恐れ入りますが、詳細につきましては、ご契約内容をご確認いただくか、担当部署へお問い合わせいただけますでしょうか。",0.0,×
